Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
93,Parabajava,Firestone Walker Brewing Company,Russian Imperial Stout,14.00%,4.45,575,163
94,The Rusty Nail,Fremont Brewing Company,American Double / Imperial Stout,13.20%,4.45,158,109
95,?ucaba,Firestone Walker Brewing Company,English Barleywine,12.50%,4.45,4917,178
96,Susan,Hill Farmstead Brewery,American IPA,6.20%,4.45,1742,58
97,Everett Porter,Hill Farmstead Brewery,American Porter,7.50%,4.45,2561,117
98,Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.60%,4.45,1732,56
99,CaffŠ Americano,Cigar City Brewing,American Double / Imperial Stout,11.00%,4.45,939,25
100,Drie Fonteinen Oude Geuze Golden Blend,Brouwerij Drie Fonteinen,Gueuze,7.50%,4.45,994,53
101,AleSmith Speedway Stout - Bourbon Barrel Aged,AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.45,2050,110
102,Congress Street IPA,Trillium Brewing Company,American IPA,7.20%,4.45,1815,74
103,Drie Fonteinen Oude Geuze Vintage,Brouwerij Drie Fonteinen,Gueuze,6.00%,4.44,696,28
104,No Rules,Perrin Brewery,American Porter,15.00%,4.44,915,56
105,Mosaic Dry Hopped Fort Point,Trillium Brewing Company,American Pale Ale (APA),6.60%,4.44,887,14
106,Double Dry Hopped PseudoSue (Citra),Toppling Goliath Brewing Company,American Pale Ale (APA),5.80%,4.44,214,122
107,Sosus,Toppling Goliath Brewing Company,American Double / Imperial IPA,8.00%,4.44,1237,36
108,Keene Idea,Alpine Beer Company,American Double / Imperial IPA,8.88%,4.44,445,153
109,Beer Geek Vanilla Shake (Bourbon Edition),Mikkeller ApS,American Double / Imperial Stout,13.00%,4.44,287,126
110,Adam From The Wood,Hair of the Dog Brewing Company / Brewery and Tasting Room,Old Ale,12.00%,4.44,939,49
111,Hopslam Ale,"Bell's Brewery, Inc.",American Double / Imperial IPA,10.00%,4.44,12640,97
112,Permanent Funeral,Three Floyds Brewing Company,American Double / Imperial IPA,10.50%,4.44,2772,103
113,Decoherence,Cigar City Brewing,American Double / Imperial Stout,12.90%,4.43,157,87
114,Brew 1000 - Bourbon Barrel Aged,Fremont Brewing Company,English Barleywine,13.10%,4.43,157,105
115,Bourbon Barrel Champion Ground,Jackie O's Pub & Brewery,American Double / Imperial Stout,11.00%,4.43,380,162
116,Imperial Biscotti Break Bourbon Barrel Aged,Evil Twin Brewing,American Double / Imperial Stout,11.50%,4.43,1535,34
117,Imperial Russian Stout - Bourbon Barrel Aged,Stone Brewing,Russian Imperial Stout,13.50%,4.43,1134,48
118,Upper Case,Trillium Brewing Company,American Double / Imperial IPA,9.00%,4.43,758,188
119,Nectarine Premiere,de Garde Brewing,Saison / Farmhouse Ale,7.10%,4.43,180,85
120,A Deal With The Devil,Anchorage Brewing Company,American Barleywine,17.30%,4.43,945,29
