Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
111,Russian River Brewing Company,Temptation,American Wild Ale,7.50% ABV,4.4,3411,194
112,Foundation Brewing Company,Epiphany,American Double / Imperial IPA,8.00% ABV,4.4,527,184
113,Jackie O's Pub & Brewery,Oro Negro,American Double / Imperial Stout,10.50% ABV,4.4,377,156
114,Evil Twin Brewing,Evil Twin Double Barrel Jesus,American Double / Imperial Stout,12.00% ABV,4.4,437,143
115,The Bruery,Chocolate Rain,American Double / Imperial Stout,18.50% ABV,4.4,2391,103
116,Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Hefeweissbier,Hefeweizen,5.40% ABV,4.4,7640,62
117,Boston Beer Company (Samuel Adams),Samuel Adams Utopias,American Strong Ale,29.00% ABV,4.4,2273,142
118,Kane Brewing Company,Sunday Brunch,American Porter,9.20% ABV,4.4,234,84
119,3 Floyds Brewing Co.,Dreadnaught IPA,American Double / Imperial IPA,9.50% ABV,4.4,5721,11
120,Funky Buddha Brewery,Wide Awake It's Morning,American Double / Imperial Stout,10.50% ABV,4.4,226,147
121,Stone Brewing Co.,Stone Enjoy By IPA,American Double / Imperial IPA,9.40% ABV,4.39,9984,5
122,Anchorage Brewing Company,A Deal With The Devil,American Barleywine,17.30% ABV,4.39,806,19
123,Peg's Cantina & Brew Pub,Pallet 1,American Double / Imperial Stout,NA,4.39,189,119
124,Other Half Brewing Co.,All Green Everything,American Double / Imperial IPA,10.50% ABV,4.39,724,185
125,New England Brewing Co.,Coriolis,American Double / Imperial IPA,8.20% ABV,4.39,405,133
126,Tree House Brewing Company,Double Shot,American Stout,7.60% ABV,4.39,503,114
127,Hair of the Dog Brewing Company / Brewery and Tasting Room,Matt,American Strong Ale,11.50% ABV,4.39,786,81
128,Creature Comforts,See The Stars,Russian Imperial Stout,10.90% ABV,4.39,120,123
129,Perennial Artisan Ales,Abraxas,American Double / Imperial Stout,10.00% ABV,4.39,1946,78
130,Brouwerij Rodenbach N.V.,Rodenbach CaractŠre Rouge,Flanders Red Ale,7.00% ABV,4.39,1171,47
131,Lagunitas Brewing Company,Born Yesterday Pale Ale,American Pale Ale (APA),6.50% ABV,4.39,1559,96
132,Side Project Brewing,Framboise Du Fermier,Saison / Farmhouse Ale,8.00% ABV,4.39,138,80
133,Alpine Beer Company,Great,American Barleywine,14.00% ABV,4.39,581,41
134,Brasserie Dieu du Ciel!,P‚ch‚ Mortel,American Double / Imperial Stout,9.50% ABV,4.39,4659,13
135,The Lone Pint Brewery,Yellow Rose,American IPA,6.80% ABV,4.39,1278,40
136,Fremont Brewing Company,Bourbon Barrel Aged Dark Star: Coffee Edition,American Double / Imperial Stout,14.50% ABV,4.38,351,114
137,Alpine Beer Company,Nelson,American IPA,7.00% ABV,4.38,3667,171
138,Fat Head's Brewery & Saloon,Hop JuJu Imperial IPA,American Double / Imperial IPA,9.00% ABV,4.38,1587,49
139,Prairie Artisan Ales,Prairie Pirate Bomb!,American Double / Imperial Stout,14.00% ABV,4.38,1464,24
140,Noble Ale Works,Citra Showers,American Double / Imperial IPA,8.80% ABV,4.38,392,152
141,Hill Farmstead Brewery,Edward,American Pale Ale (APA),5.20% ABV,4.38,2253,102
142,Ballast Point Brewing Company,Sculpin IPA,American IPA,7.00% ABV,4.38,12679,61
143,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee,American Double / Imperial Stout,12.00% ABV,4.38,1291,19
144,Fiddlehead Brewing Company,Second Fiddle,American Double / Imperial IPA,8.20% ABV,4.37,1403,36
145,Funky Buddha Brewery,Snowed In - Bourbon Barrel Aged,American Double / Imperial Stout,11.00% ABV,4.37,99,74
146,Side Project Brewing,Saison Du Fermier,Saison / Farmhouse Ale,7.00% ABV,4.37,548,123
147,Logsdon Farmhouse Ales,Peche 'n Brett,Saison / Farmhouse Ale,10.00% ABV,4.37,1072,35
148,Alpine Beer Company,Exponential Hoppiness,American Double / Imperial IPA,11.00% ABV,4.37,1241,122
149,Cascade Brewing / Raccoon Lodge & Brewpub,Cascade Sang Noir,American Wild Ale,9.50% ABV,4.37,1424,51
150,Trillium Brewing Company,Mosaic Dry Hopped Fort Point,American Pale Ale (APA),6.60% ABV,4.37,381,115
151,Brouwerij Drie Fonteinen,Drie Fonteinen Hommage,Lambic - Fruit,6.00% ABV,4.37,699,43
152,Jackie O's Pub & Brewery,Bourbon Barrel Black Maple,American Porter,11.00% ABV,4.37,724,166
153,Hill Farmstead Brewery,Juicy,Saison / Farmhouse Ale,7.40% ABV,4.37,228,137
154,AleSmith Brewing Company,AleSmith Speedway Stout,American Double / Imperial Stout,12.00% ABV,4.37,6075,10
155,Kuhnhenn Brewing Company,Kuhnhenn Raspberry Eisbock,Eisbock,15.50% ABV,4.37,1156,131
156,Cigar City Brewing,CaffŠ Americano,American Double / Imperial Stout,11.00% ABV,4.36,567,143
157,Grimm Artisanal Ales,Afterimage,American Double / Imperial IPA,8.00% ABV,4.36,160,119
158,Pipeworks Brewing Company,Sure Bet,American Double / Imperial IPA,9.50% ABV,4.36,443,146
159,Brasserie Cantillon,Cantillon Gueuze 100% Lambic,Gueuze,5.00% ABV,4.36,2886,153
160,Avery Brewing Company,Uncle Jacob's Stout,American Double / Imperial Stout,16.90% ABV,4.36,2103,97
161,Trillium Brewing Company,Vicinity,American Double / Imperial IPA,8.00% ABV,4.36,750,187
162,Societe Brewing Co.,The Pupil,American IPA,7.80% ABV,4.36,786,173
163,Brasserie Cantillon,Cantillon Lou Pepe - Gueuze,Gueuze,5.00% ABV,4.36,970,56
164,Avery Brewing Company,Tweak,American Double / Imperial Stout,17.81% ABV,4.35,1577,53
165,New Glarus Brewing Company,Wisconsin Belgian Red,Fruit / Vegetable Beer,4.00% ABV,4.35,3269,192
166,Live Oak Brewing Company,Live Oak HefeWeizen,Hefeweizen,5.20% ABV,4.35,1264,118
167,New Glarus Brewing Company,R&D Vintage 2014,American Wild Ale,6.00% ABV,4.35,281,133
168,Boneyard Beer Company,Hop Venom Double IPA,American Double / Imperial IPA,8.90% ABV,4.35,812,20
169,La Cumbre Brewing Co.,Project Dank,American IPA,7.50% ABV,4.35,704,173
170,The Bruery,Grey Monday,American Double / Imperial Stout,19.50% ABV,4.35,1511,31
171,Jester King Brewery,Montmorency Vs Balaton,American Wild Ale,6.70% ABV,4.35,541,112
172,Hill Farmstead Brewery,Society & Solitude #6,American Double / Imperial IPA,8.10% ABV,4.35,532,143
173,Brasserie Dieu du Ciel!,P‚ch‚ Mortel En F–t De Bourbon Am‚ricain,American Double / Imperial Stout,9.50% ABV,4.35,359,172
174,Fremont Brewing Company,Brew 1000 - Bourbon Barrel Aged,English Barleywine,13.10% ABV,4.35,63,52
175,Peg's Cantina & Brew Pub,Nooner Batch 10,American Double / Imperial Stout,NA,4.35,132,84
176,Westbrook Brewing Co.,Mexican Cake,American Double / Imperial Stout,10.50% ABV,4.35,2302,89
177,Ballast Point Brewing Company,Victory At Sea Coffee Vanilla Imperial Porter,American Porter,10.00% ABV,4.34,6100,4
178,Minneapolis Town Hall Brewery,Masala Mama India Pale Ale,American IPA,6.00% ABV,4.34,1322,163
179,Sante Adairius Rustic Ales,West Ashley,American Wild Ale,7.30% ABV,4.34,746,156
180,Hill Farmstead Brewery,Aaron,English Barleywine,NA,4.34,277,87
181,Hill Farmstead Brewery,What Is Enlightenment?,American Pale Ale (APA),5.40% ABV,4.34,821,17
182,Ozark Beer Co.,BDCS,American Double / Imperial Stout,10.20% ABV,4.34,84,44
183,Trillium Brewing Company,Double Dry Hopped Sleeper Street IPA,American IPA,7.10% ABV,4.34,273,104
184,Stone Brewing Co.,Stone Imperial Russian Stout,Russian Imperial Stout,10.60% ABV,4.34,7960,66
185,Fremont Brewing Company,Bourbon Abominable Winter Ale,American Strong Ale,14.00% ABV,4.34,879,35
186,Peg's Cantina & Brew Pub,&+,American Double / Imperial Stout,10.50% ABV,4.34,131,93
187,Clown Shoes,Breakfast Exorcism,American Double / Imperial Stout,11.00% ABV,4.34,219,114
188,4 Hands Brewing Co.,Madagascar,Milk / Sweet Stout,9.30% ABV,4.34,381,114
189,Olde Hickory Brewery,The Event Horizon,American Double / Imperial Stout,8.50% ABV,4.34,1550,88
190,New Glarus Brewing Company,Serendipity,Fruit / Vegetable Beer,4.00% ABV,4.34,2540,85
191,Funky Buddha Brewery,Last Buffalo In The Park,American Double / Imperial Stout,11.50% ABV,4.33,140,38
192,Hill Farmstead Brewery,Damon (Bourbon Barrel Aged),Russian Imperial Stout,10.50% ABV,4.33,605,179
193,Hill Farmstead Brewery,Citra Pale Ale,American Pale Ale (APA),5.40% ABV,4.33,876,22
194,New Glarus Brewing Company,Raspberry Tart,Fruit / Vegetable Beer,4.00% ABV,4.33,3555,190
195,Olde Hickory Brewery,Omega Point,English Barleywine,10.00% ABV,4.33,351,137
196,Midnight Sun Brewing Co.,Arctic Devil Barley Wine,English Barleywine,13.20% ABV,4.33,1225,113
197,Grimm Artisanal Ales,Tesseract,American Double / Imperial IPA,8.00% ABV,4.33,216,127
198,Hill Farmstead Brewery,Birth Of Tragedy,American Porter,9.00% ABV,4.33,1067,46
199,Trillium Brewing Company,Melcher Street IPA,American IPA,7.30% ABV,4.33,563,156
200,North Coast Brewing Co.,Old Stock Cellar Reserve (Aged In Bourbon Barrels),Old Ale,13.16% ABV,4.33,943,109
201,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze,Gueuze,6.00% ABV,4.33,2489,165
202,Maine Beer Company,Lunch,American IPA,7.00% ABV,4.33,4477,160
203,Hill Farmstead Brewery,Beyond Good And Evil,American Double / Imperial Stout,NA,4.33,507,130
204,Pipeworks Brewing Company,Spotted Puffer,American Double / Imperial IPA,9.50% ABV,4.33,186,95
205,Oskar Blues Grill & Brew,Ten FIDY,Russian Imperial Stout,10.50% ABV,4.33,9223,64
206,Tr”egs Brewing Company,Tr”egs Nugget Nectar,American Amber / Red Ale,7.50% ABV,4.33,7906,63
207,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,Ayinger Celebrator Doppelbock,Doppelbock,6.70% ABV,4.33,6070,60
208,Sante Adairius Rustic Ales,Saison Bernice,Saison / Farmhouse Ale,6.50% ABV,4.33,659,140
209,Evil Twin Brewing,Evil Twin Imperial Biscotti Break,American Double / Imperial Stout,11.50% ABV,4.33,3631,135
210,Founders Brewing Company,Founders Imperial Stout,Russian Imperial Stout,10.50% ABV,4.33,7156,12
211,The Bruery,Melange No. 3,American Strong Ale,15.50% ABV,4.33,1742,83
212,La Cumbre Brewing Co.,Elevated IPA,American IPA,7.20% ABV,4.32,1207,50
213,Hill Farmstead Brewery,Civil Disobedience #15,Saison / Farmhouse Ale,11.00% ABV,4.32,120,87
214,Willoughby Brewing,Nut Smasher,American Double / Imperial Stout,11.00% ABV,4.32,176,108
215,Odd Side Ales,Hipster Brunch Stout,American Double / Imperial Stout,10.00% ABV,4.32,399,150
216,De Struise Brouwers,Pannepot,Quadrupel (Quad),10.00% ABV,4.32,2280,177
217,"Bell's Brewery, Inc.",30th Anniversary Ale,American Double / Imperial Stout,11.00% ABV,4.32,1016,76
218,Hill Farmstead Brewery,Nelson Single Hop,American Pale Ale (APA),5.20% ABV,4.32,399,148
219,Modern Times Beer,Monsters Park - Bourbon Barrel Aged With Coconut And Cacao Nibs,American Double / Imperial Stout,13.00% ABV,4.32,132,44
220,Fiddlehead Brewing Company,Mastermind,American Double / Imperial IPA,8.10% ABV,4.32,1041,16
221,AleSmith Brewing Company,AleSmith Speedway Stout - Kopi Luwak,American Double / Imperial Stout,12.00% ABV,4.32,519,170
222,Fat Head's Brewery & Saloon,Fat Head's Head Hunter IPA,American IPA,7.50% ABV,4.32,3815,144
223,Trillium Brewing Company,Heavy Mettle,American Double / Imperial IPA,9.30% ABV,4.32,390,101
224,Thirsty Dog Brewing Company,Wulver,Scotch Ale / Wee Heavy,12.00% ABV,4.32,1458,54
225,De Struise Brouwers,Black Damnation V - Double Black,American Double / Imperial Stout,26.00% ABV,4.32,326,24
226,Flossmoor Station Restaurant & Brewery,Bourbon Barrel Aged Hi-Fi Rye,American Barleywine,10.90% ABV,4.32,324,24
227,Lagunitas Brewing Company,Lagunitas Sucks (Brown Shugga Substitute Ale),American Double / Imperial IPA,7.85% ABV,4.32,9740,9
228,Pipeworks Brewing Company,Pipeworks / 4 Hands Square Grouper,American Double / Imperial IPA,NA,4.32,633,151
229,Russian River Brewing Company,Blind Pig IPA,American IPA,6.10% ABV,4.32,5447,6
230,Anchorage Brewing Company,Bitter Monk,Belgian IPA,9.00% ABV,4.32,944,82
231,Great Lakes Brewing Co.,Great Lakes Barrel-Aged Blackout Stout,Russian Imperial Stout,9.50% ABV,4.32,1732,126
232,Allagash Brewing Company,Allagash Coolship Red,Lambic - Fruit,5.70% ABV,4.31,465,173
233,The Lost Abbey,Box Set Track #10 - Bat Out Of Hell,American Double / Imperial Stout,13.50% ABV,4.31,653,173
234,Alpine Beer Company,Pure Hoppiness,American Double / Imperial IPA,8.00% ABV,4.31,3034,177
235,Port Brewing,Older Viscosity,American Double / Imperial Stout,12.00% ABV,4.31,2542,169
236,Alpine Beer Company,Duet,American IPA,7.00% ABV,4.31,3599,168
237,Peg's Cantina & Brew Pub,Crank IPA,American IPA,7.00% ABV,4.31,390,128
238,Firestone Walker Brewing Co.,Parabajava,Russian Imperial Stout,14.00% ABV,4.31,207,71
239,Stillwater Artisanal Ales,Stillwater / Westbrook Gose Gone Wild,Gose,4.60% ABV,4.31,613,140
240,Minneapolis Town Hall Brewery,Three Hour Tour,Milk / Sweet Stout,6.10% ABV,4.31,280,183
