"Rank","Beer","Brewery","Style","ABV","Rating","Ratings","Reviews"
82,"Founders Breakfast Stout","Founders Brewing Company","American Double / Imperial Stout","8.30%",4.47,16317,96
83,"Fuzzy Baby Ducks IPA","New England Brewing Company","American IPA","6.20%",4.47,739,175
84,"Trappistes Rochefort 10","Brasserie de Rochefort","Quadrupel (Quad)","11.30%",4.47,9096,63
85,"Evil Twin Double Barrel Jesus","Evil Twin Brewing","American Double / Imperial Stout","12.00%",4.47,604,161
86,"Beer Geek Vanilla Shake (Bourbon Edition)","Mikkeller ApS","American Double / Imperial Stout","13.00%",4.46,330,132
87,"Dark Horse Bourbon Barrel Aged Plead The 5th","Dark Horse Brewing Company","Russian Imperial Stout","12.00%",4.46,3081,125
88,"Ten FIDY Bourbon Barrel Aged","Oskar Blues Grill & Brew","Russian Imperial Stout","12.90%",4.46,1036,52
89,"Crusher","The Alchemist","American Double / Imperial IPA","9.60%",4.46,1497,51
90,"Cantillon Lou Pepe - Kriek","Brasserie Cantillon","Lambic - Fruit","5.00%",4.46,1696,110
91,"Black Tuesday","The Bruery","American Double / Imperial Stout","19.20%",4.46,3813,156
92,"Wide Awake It's Morning","Funky Buddha Brewery","American Porter","10.00%",4.46,661,21
93,"Congress Street IPA","Trillium Brewing Company","American IPA","7.20%",4.46,1878,73
94,"Beatification","Russian River Brewing Company","American Wild Ale","5.50%",4.46,2594,142
95,"Society & Solitude #5","Hill Farmstead Brewery","American Double / Imperial IPA","8.10%",4.46,1379,42
96,"Pirate Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","14.00%",4.46,1939,68
97,"Decoherence","Cigar City Brewing","American Double / Imperial Stout","12.90%",4.46,182,97
98,"Citraquench'l","Heist Brewery","American IPA","6.70%",4.45,124,113
99,"Drie Fonteinen Oude Geuze Vintage","Brouwerij Drie Fonteinen","Gueuze","6.00%",4.45,710,26
100,"Susan","Hill Farmstead Brewery","American IPA","6.20%",4.45,1775,54
101,"Sosus","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00%",4.45,1290,38
102,"Caffè Americano","Cigar City Brewing","American Double / Imperial Stout","11.00%",4.45,976,24
103,"Abrasive Ale","Surly Brewing Company","American Double / Imperial IPA","9.00%",4.45,4497,184
104,"§ucaba","Firestone Walker Brewing Company","English Barleywine","12.50%",4.45,4963,177
105,"Everett Porter","Hill Farmstead Brewery","American Porter","7.50%",4.45,2576,116
106,"Last Buffalo In The Park","Funky Buddha Brewery","American Double / Imperial Stout","11.50%",4.45,289,117
107,"The Broken Truck","de Garde Brewing","Gueuze","5.00%",4.45,160,84
108,"Drie Fonteinen Oude Geuze Golden Blend","Brouwerij Drie Fonteinen","Gueuze","7.50%",4.45,1010,49
109,"Todd The Axe Man","Surly Brewing Company","American IPA","7.20%",4.45,2178,112
110,"AleSmith Speedway Stout - Bourbon Barrel Aged","AleSmith Brewing Company","American Double / Imperial Stout","12.00%",4.45,2074,108
111,"Nectarine Premiere","de Garde Brewing","Saison / Farmhouse Ale","7.10%",4.45,209,90
112,"Mosaic Dry Hopped Fort Point","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.45,969,19
113,"Trademark Dispute: Hazelnut","Peg's Cantina & Brew Pub","American Double / Imperial Stout","Imperial",4.45,207,101
114,"Bourbon Barrel Champion Ground","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00%",4.45,456,168
115,"Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.44,1800,56
116,"Brew 1000 - Bourbon Barrel Aged","Fremont Brewing Company","English Barleywine","13.10%",4.44,171,104
117,"Keene Idea","Alpine Beer Company","American Double / Imperial IPA","8.88%",4.44,446,152
118,"Adam From The Wood","Hair of the Dog Brewing Company / Brewery and Tasting Room","Old Ale","12.00%",4.44,947,45
