"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
151,"Parish Brewing Company","Ghost In The Machine","American Double / Imperial IPA","8.00%",4.4,492,168,"229 Jared Dr","","Broussard","LA","70518"
152,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition","Oatmeal Stout","14.50%",4.4,490,134,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
153,"Boston Beer Company (Samuel Adams)","Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2419,139,"30 Germania St","","Jamaica Plain","MA","02130"
154,"Bayerische Staatsbrauerei Weihenstephan","Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8057,62,"Alte Akademie 2","","Freising","Germany","85354"
155,"Hill Farmstead Brewery","Society & Solitude #6","American Double / Imperial IPA","8.10%",4.4,659,160,"403 Hill Rd","","Greensboro Bend","VT","05842"
156,"Three Floyds Brewing Company","Dreadnaught IPA","American Double / Imperial IPA","9.50%",4.4,5906,10,"9750 Indiana Pkwy","","Munster","IN","46321"
157,"Perennial Artisan Ales","Abraxas","American Double / Imperial Stout","10.00%",4.4,2253,88,"8125 Michigan Ave","","Saint Louis","MI","63111"
158,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.4,345,132,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
159,"New England Brewing Company","Coriolis","American Double / Imperial IPA","8.20%",4.39,495,144,"175 Amity Rd","","Woodbridge","CT","06525"
160,"Hair of the Dog Brewing Company / Brewery and Tasting Room","Matt","American Strong Ale","11.50%",4.39,820,81,"61 SE Yamhill St","","Portland","OR","97214"
161,"J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.39,260,117,"120 NW 24th St","","Miami","FL","33127"
162,"Bottle Logic Brewing","Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.39,325,143,"1072 N Armando St","","Anaheim","CA","92806"
163,"Sante Adairius Rustic Ales","West Ashley","American Wild Ale","7.30%",4.39,886,170,"103 Kennedy Dr","","Capitola","CA","95010"
164,"Toppling Goliath Brewing Company","XHOPS (Gold Label)","American Pale Ale (APA)","5.30%",4.39,377,161,"310 College Dr","","Decorah","IO","52101"
165,"Lagunitas Brewing Company","Born Yesterday Pale Ale","American Pale Ale (APA)","6.50%",4.39,1802,101,"1280 N McDowell Blvd","","Petaluma","CA","94954"
166,"Tree House Brewing Company","Triple Shot","American Double / Imperial Stout","9.00%",4.39,245,87,"160 E Hill Rd","","Monson","MA","01057"
167,"Bottle Logic Brewing","Leche Borracho","American Double / Imperial Stout","11.00%",4.39,190,115,"1072 N Armando St","","Anaheim","CA","92806"
