"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
48,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.51,1051,41,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
49,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.51,1100,16,"310 College Dr","","Decorah","IO","52101"
50,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.5,425,158,"369 Congress St","","Boston","MA","2210"
51,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.5,197,152,"1330 N Forest St","","Bellingham","WA","98225"
52,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,459,176,"160 E Hill Rd","","Monson","MA","1057"
53,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4038,169,"3924 W Spruce St","","Tampa","FL","33607"
54,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,12062,66,"1800 W Fulton St","","Chicago","IL","60612"
55,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.5,1447,44,"369 Congress St","","Boston","MA","2210"
56,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6246,7,"725 4th St","","Santa Rosa","CA","95404"
57,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,816,168,"160 E Hill Rd","","Monson","MA","1057"
58,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1699,68,"403 Hill Rd","","Greensboro Bend","VT","5842"
59,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.49,712,167,"7373 Marietta Ave","","Maplewood","MI","63143"
60,"Tree House Brewing Company","Doubleganger","American Double / Imperial IPA","8.20%",4.49,163,105,"160 E Hill Rd","","Monson","MA","1057"
61,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,776,86,"Rue Gheude 56","","Brussels","Belgium","1070"
62,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1194,25,"369 Congress St","","Boston","MA","2210"
63,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.49,134,116,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
64,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4208,159,"355 E. KALAMAZOO?AVE.","","Kalamazoo","MI","49007"
65,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1687,42,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
66,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,753,189,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
67,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,810,60,"9750 Indiana Pkwy","","Munster","IN","46321"
68,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1890,127,"5919 Chicago Rd","","Warren","MI","48092"
69,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.48,186,124,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
70,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.48,4102,153,"310 College Dr","","Decorah","IO","52101"
71,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.48,5049,151,"1800 W Fulton St","","Chicago","IL","60612"
72,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6935,13,"901 SW Simpson Ave","","Bend","OR","97702"
73,"Mikkeller ApS","Beer Geek Vanilla Shake (Bourbon Edition)","American Double / Imperial Stout","13.00%",4.48,343,139,"Humletorvet 27, 3 sal","","Copenhagen","Denmark",""
74,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.47,314,150,"1700 S 1st St","","Rogers","AR","72756"
75,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,331,138,"369 Congress St","","Boston","MA","2210"
76,"Trillium Brewing Company","Cutting Tiles (Mosaic)","American Double / Imperial IPA","8.50%",4.47,1068,39,"369 Congress St","","Boston","MA","2210"
77,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,737,185,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
78,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5732,181,"1803 S 49th West Ave","","Tulsa","OK","74107"
79,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2117,173,"Donkerstraat 12","","Westvleteren","Belgium","8640"
80,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.47,653,171,"1400 Ramada Drive","","Paso Robles","CA","93446"
81,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1010,80,"403 Hill Rd","","Greensboro Bend","VT","5842"
82,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.47,971,78,"155 Mata Way #104","","San Marcos","CA","92069"
83,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16334,101,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
84,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.47,740,178,"175 Amity Rd","","Woodbridge","CT","6525"
85,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9102,65,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
86,"Evil Twin Brewing","Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.47,608,167,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
87,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3084,130,"511 South Kalamazoo Street","","Marshall","MI","49068"
88,"Oskar Blues Grill & Brew","Ten FIDY Bourbon Barrel Aged","Russian Imperial Stout","12.90%",4.46,1068,54,"303 Main St","","Lyons","CO","80540"
89,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.46,1513,53,"35 Crossroad","","Waterbury","VT","5676"
90,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1697,115,"Rue Gheude 56","","Brussels","Belgium","1070"
91,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3817,161,"715 Dunn Way","","Placentia","CA","92870"
92,"Heist Brewery","Citraquench'l","American IPA","6.70%",4.46,127,118,"2901 N Davidson St","","Charlotte","NC","28205"
93,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2596,149,"725 4th St","","Santa Rosa","CA","95404"
94,"Hill Farmstead Brewery","Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1380,43,"403 Hill Rd","","Greensboro Bend","VT","5842"
95,"Prairie Artisan Ales","Pirate Bomb!","American Double / Imperial Stout","14.00%",4.46,1942,70,"1803 S 49th West Ave","","Tulsa","OK","74107"
96,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,711,27,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
97,"Hill Farmstead Brewery","Susan","American IPA","6.20%",4.45,1779,56,"403 Hill Rd","","Greensboro Bend","VT","5842"
98,"Toppling Goliath Brewing Company","Sosus","American Double / Imperial IPA","8.00%",4.45,1295,38,"310 College Dr","","Decorah","IO","52101"
99,"Cigar City Brewing","Caffè Americano","American Double / Imperial Stout","11.00%",4.45,980,25,"3924 W Spruce St","","Tampa","FL","33607"
100,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.45,4498,188,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
101,"Firestone Walker Brewing Company","§ucaba","English Barleywine","12.50%",4.45,4964,180,"1400 Ramada Drive","","Paso Robles","CA","93446"
102,"Hill Farmstead Brewery","Everett Porter","American Porter","7.50%",4.45,2576,121,"403 Hill Rd","","Greensboro Bend","VT","5842"
103,"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.45,213,106,"Closed","","","",""
104,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,1010,50,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
105,"Surly Brewing Company","Todd The Axe Man","American IPA","7.20%",4.45,2184,117,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
106,"Funky Buddha Brewery","Wide Awake It's Morning","American Porter","10.00%",4.45,665,23,"1201 NE 38th St","","Oakland Park","FL","33334"
107,"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2078,112,"9990 AleSmith Ct","","San Diego","CA","92126"
108,"de Garde Brewing","Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.45,211,93,"6000 Blimp Blvd","","Tillamook","OR","97141"
109,"Trillium Brewing Company","Congress Street IPA","American IPA","7.20%",4.45,1889,76,"369 Congress St","","Boston","MA","2210"
110,"Funky Buddha Brewery","Last Buffalo In The Park","American Double / Imperial Stout","11.50%",4.45,323,129,"1201 NE 38th St","","Oakland Park","FL","33334"
111,"Trillium Brewing Company","Mosaic Dry Hopped Fort Point","American Pale Ale (APA)","6.60%",4.45,971,20,"369 Congress St","","Boston","MA","2210"
112,"Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.45,459,175,"24 W Union St","","Athens","OH","45701"
113,"Cigar City Brewing","Decoherence","American Double / Imperial Stout","12.90%",4.45,185,105,"3924 W Spruce St","","Tampa","FL","33607"
114,"Trillium Brewing Company","Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.44,1809,58,"369 Congress St","","Boston","MA","2210"
115,"de Garde Brewing","The Broken Truck","Gueuze","5.00%",4.44,162,88,"6000 Blimp Blvd","","Tillamook","OR","97141"
116,"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.44,171,109,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
117,"Alpine Beer Company","Keene Idea","American Double / Imperial IPA","8.88%",4.44,446,157,"2363 Alpine Blvd","","Alpine","CA","91901"
118,"Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood","Old Ale","12.00%",4.44,948,46,"61 SE Yamhill St","","Portland","OR","97214"
119,"Three Floyds Brewing Company","Permanent Funeral","American Double / Imperial IPA","10.50%",4.44,2798,107,"9750 Indiana Pkwy","","Munster","IN","46321"
120,"J. Wakefield Brewing","Miami Madness","Berliner Weissbier","5.50%",4.44,294,133,"120 NW 24th St","","Miami","FL","33127"
121,"Trillium Brewing Company","Heavy Mettle","American Double / Imperial IPA","9.30%",4.43,813,183,"369 Congress St","","Boston","MA","2210"
122,"Firestone Walker Brewing Company","Stickee Monkee","Quadrupel (Quad)","11.60%",4.43,2340,89,"1400 Ramada Drive","","Paso Robles","CA","93446"
123,"Trillium Brewing Company","Upper Case","American Double / Imperial IPA","9.00%",4.43,793,15,"369 Congress St","","Boston","MA","2210"
124,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.43,462,156,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
125,"Prairie Artisan Ales","Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.43,1029,48,"1803 S 49th West Ave","","Tulsa","OK","74107"
126,"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1557,32,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
127,"Stone Brewing","Imperial Russian Stout - Bourbon Barrel Aged","Russian Imperial Stout","13.50%",4.43,1143,45,"1999 Citracado Parkway","","Escondido","CA","92029"
128,"Hill Farmstead Brewery","Juicy","Saison / Farmhouse Ale","7.40%",4.43,500,175,"403 Hill Rd","","Greensboro Bend","VT","5842"
129,"Bell's Brewery, Inc.","Hopslam Ale","American Double / Imperial IPA","10.00%",4.43,12855,99,"355 E. KALAMAZOO?AVE.","","Kalamazoo","MI","49007"
130,"Anchorage Brewing Company","A Deal With The Devil","American Barleywine","17.30%",4.43,969,29,"148 West 91st Ave?","","Anchorage","AK","99515"
131,"Peg's Cantina & Brew Pub","Rare Scooop","American Double / Imperial Stout","Imperial",4.43,107,79,"Closed","","","",""
132,"Brasserie Cantillon","Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.43,2020,137,"Rue Gheude 56","","Brussels","Belgium","1070"
133,"Prairie Artisan Ales","Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.43,1448,59,"1803 S 49th West Ave","","Tulsa","OK","74107"
134,"Brouwerij Rodenbach N.V.","Alexander","Flanders Red Ale","5.00%",4.42,479,37,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
135,"Funky Buddha Brewery","Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1752,83,"1201 NE 38th St","","Oakland Park","FL","33334"
136,"Funky Buddha Brewery","Last Snow","American Porter","6.40%",4.42,1725,81,"1201 NE 38th St","","Oakland Park","FL","33334"
137,"Kane Brewing Company","Mexican Brunch","American Porter","9.20%",4.42,233,93,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
138,"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,654,19,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
139,"Perrin Brewery","No Rules","American Porter","15.00%",4.42,1028,71,"5910 Comstock Park Dr NW","","Comstock Park","MI","49321"
140,"New England Brewing Company","Coriolis","American Double / Imperial IPA","8.20%",4.42,578,164,"175 Amity Rd","","Woodbridge","CT","6525"
141,"Brouwerij St. Bernardus NV","St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9383,64,"Trappistenweg 23","","Watou","Belgium","8978"
142,"Brasserie Cantillon","Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1260,95,"Rue Gheude 56","","Brussels","Belgium","1070"
143,"Sante Adairius Rustic Ales","Saison Bernice","Saison / Farmhouse Ale","6.50%",4.42,845,172,"103 Kennedy Dr","","Capitola","CA","95010"
144,"Columbus Brewing Company","Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1449,59,"2555 Harrison Rd","","Columbus","OH","43204"
145,"Grimm Artisanal Ales","Afterimage","American Double / Imperial IPA","8.00%",4.42,434,170,"PO Box 150472","","Brooklyn","NY","11215"
146,"Hangar 24 Brewery","Pugachev Royale","Russian Imperial Stout","14.80%",4.41,199,90,"1710 Sessums Drive","","Redlands","CA","92374"
147,"Russian River Brewing Company","Temptation","American Wild Ale","7.50%",4.41,3638,1,"725 4th St","","Santa Rosa","CA","95404"
148,"J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.41,298,133,"120 NW 24th St","","Miami","FL","33127"
149,"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1983,84,"24581 Lorain Rd.","","North Olmstead","OH","44070"
150,"Surly Brewing Company","Darkness","Russian Imperial Stout","10.30%",4.41,3755,179,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
151,"Jackie O's Pub & Brewery","Oro Negro","American Double / Imperial Stout","10.50%",4.41,680,20,"24 W Union St","","Athens","OH","45701"
152,"Tree House Brewing Company","Triple Shot","American Double / Imperial Stout","9.00%",4.41,255,102,"160 E Hill Rd","","Monson","MA","1057"
153,"The Bruery","Chocolate Rain","American Double / Imperial Stout","18.50%",4.41,2622,110,"715 Dunn Way","","Placentia","CA","92870"
154,"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.41,741,18,"Closed","","","",""
155,"Alpine Beer Company","Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,29,"2363 Alpine Blvd","","Alpine","CA","91901"
156,"Perennial Artisan Ales","Abraxas","American Double / Imperial Stout","10.00%",4.41,2423,104,"8125 Michigan Ave","","Saint Louis","MI","63111"
157,"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.41,1872,96,"11197 Brockway Rd","","Truckee","CA","96161"
158,"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1386,67,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
159,"Bottle Logic Brewing","Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.41,378,157,"1072 N Armando St","","Anaheim","CA","92806"
160,"Pelican Pub & Brewery","Mother Of All Storms","English Barleywine","14.00%",4.41,1933,136,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
161,"Fiddlehead Brewing Company","Second Fiddle","American Double / Imperial IPA","8.20%",4.41,1714,57,"6305 Shelburne Rd","","Shelburne","VT","5482"
162,"Lagunitas Brewing Company","Born Yesterday Pale Ale","American Pale Ale (APA)","7.00%",4.4,2250,128,"1280 N McDowell Blvd","","Petaluma","CA","94954"
163,"Russian River Brewing Company","Consecration","American Wild Ale","10.00%",4.4,5218,2,"725 4th St","","Santa Rosa","CA","95404"
164,"Trillium Brewing Company","Dialed In (w/ Sauvignon Blanc Juice)","American Double / Imperial IPA","8.50%",4.4,476,160,"369 Congress St","","Boston","MA","2210"
165,"Tree House Brewing Company","Curiosity Twenty Seven","American Double / Imperial IPA","8.00%",4.4,128,75,"160 E Hill Rd","","Monson","MA","1057"
166,"Trillium Brewing Company","Double Dry Hopped Melcher Street","American IPA","7.20%",4.4,810,191,"369 Congress St","","Boston","MA","2210"
167,"Aslin Beer Company","Orange Starfish","American IPA","5.70%",4.4,137,102,"1330 N Forest St","","Bellingham","WA","98225"
168,"Sante Adairius Rustic Ales","Westly","American Wild Ale","8.50%",4.4,231,102,"103 Kennedy Dr","","Capitola","CA","95010"
169,"Jester King Brewery","Montmorency Vs Balaton","American Wild Ale","6.70%",4.4,699,148,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
170,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition","Oatmeal Stout","14.50%",4.4,572,154,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
171,"Willoughby Brewing","Nut Smasher","American Double / Imperial Stout","11.00%",4.4,297,154,"4057 Erie Street","","Willoughby","OH","44094"
172,"Foundation Brewing Company","Epiphany","American Double / Imperial IPA","8.00%",4.4,872,31,"1 Industrial Way?","","Portland","ME","4103"
173,"Boston Beer Company (Samuel Adams)","Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2494,147,"30 Germania St","","Jamaica Plain","MA","2130"
174,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1720,40,"9990 AleSmith Ct","","San Diego","CA","92126"
175,"Bayerische Staatsbrauerei Weihenstephan","Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8179,63,"Alte Akademie 2","","Freising","Germany","85354"
176,"Sante Adairius Rustic Ales","West Ashley","American Wild Ale","7.30%",4.4,944,182,"103 Kennedy Dr","","Capitola","CA","95010"
177,"Trillium Brewing Company","Double Dry Hopped Sleeper Street","American IPA","7.20%",4.4,731,182,"369 Congress St","","Boston","MA","2210"
178,"Peg's Cantina & Brew Pub","Trademark Dispute: Pallet 1","American Double / Imperial Stout","10.40%",4.4,308,142,"Closed","","","",""
179,"Three Floyds Brewing Company","Dreadnaught IPA","American Double / Imperial IPA","9.50%",4.4,5954,10,"9750 Indiana Pkwy","","Munster","IN","46321"
180,"Hill Farmstead Brewery","Aaron","English Barleywine","BreweryEnglish",4.4,346,116,"403 Hill Rd","","Greensboro Bend","VT","5842"
181,"SingleCut Beersmiths","Softly Spoken Magic Spells","American Double / Imperial IPA","8.60%",4.4,620,36,"19-33 37th St","","Queens","NY","11105"
182,"Bottle Logic Brewing","Leche Borracho","American Double / Imperial Stout","11.00%",4.39,274,140,"1072 N Armando St","","Anaheim","CA","92806"
183,"Jackie O's Pub & Brewery","Bourbon Barrel Oro Negro","American Double / Imperial Stout","11.00%",4.39,278,126,"24 W Union St","","Athens","OH","45701"
