"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Funky Buddha Brewery",92,"Wide Awake It's Morning","American Porter","10.00%",4.46,643,22,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",132,"Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1702,83,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",131,"Last Snow","American Porter","6.40%",4.42,1699,84,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",21,"Last Buffalo In The Park","American Porter","11.50%",4.57,413,156,"1201 NE 38th St","","Oakland Park","FL","33334"
"Goose Island Beer Company",25,"Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.56,6920,3,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company",70,"Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.48,5004,153,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company",54,"Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,11992,70,"1800 W Fulton St","","Chicago","IL","60612"
"Grimm Artisanal Ales",224,"Tesseract","American Double / Imperial IPA","8.00%",4.36,468,174,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",229,"Lambo Door","American Double / Imperial IPA","8.00%",4.36,489,193,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",142,"Afterimage","American Double / Imperial IPA","8.00%",4.41,429,173,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",226,"Lumen","American IPA","6.40%",4.36,254,132,"PO Box 150472","","Brooklyn","NY","11215"
"Hair of the Dog Brewing Company / Brewery and Tasting Room",174,"Matt","American Strong Ale","11.50%",4.39,831,86,"61 SE Yamhill St","","Portland","OR","97214"
"Hair of the Dog Brewing Company / Brewery and Tasting Room",112,"Adam From The Wood","Old Ale","12.00%",4.44,943,50,"61 SE Yamhill St","","Portland","OR","97214"
"Hangar 24 Brewery",191,"Pugachev Royale","Russian Imperial Stout","14.80%",4.39,183,92,"1710 Sessums Drive","","Redlands","CA","92374"
"Heist Brewery",119,"Citraquench'l","American IPA","6.70%",4.43,98,100,"2901 N Davidson St","","Charlotte","NC","28205"
"Hill Farmstead Brewery",141,"Juicy","Saison / Farmhouse Ale","7.40%",4.41,464,173,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",179,"Society & Solitude #6","American Double / Imperial IPA","8.10%",4.39,668,167,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",244,"Birth Of Tragedy","American Porter","9.00%",4.35,1149,53,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",56,"Double Citra","American Double / Imperial IPA","8.00%",4.49,1696,72,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",42,"Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1302,72,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",78,"Ephraim","American Double / Imperial IPA","10.00%",4.47,1008,81,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",41,"Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1070,39,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",94,"Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1360,46,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",246,"What Is Enlightenment?","American Pale Ale (APA)","5.40%",4.34,875,19,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",99,"Susan","American IPA","6.20%",4.45,1765,60,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",196,"Damon (Bourbon Barrel Aged)","Russian Imperial Stout","10.50%",4.38,673,192,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",102,"Everett Porter","American Porter","7.50%",4.45,2569,127,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",182,"Aaron","English Barleywine","BreweryEnglish",4.39,330,112,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",27,"Ann","Saison / Farmhouse Ale","6.50%",4.56,338,174,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",227,"Genealogy Of Morals (Bourbon Barrel Aged)","American Double / Imperial Stout","10.70%",4.36,510,145,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",198,"Edward","American Pale Ale (APA)","5.20%",4.38,2565,120,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",26,"Abner","American Double / Imperial IPA","8.20%",4.56,2519,126,"403 Hill Rd","","Greensboro Bend","VT","5842"
"J. Wakefield Brewing",118,"Miami Madness","Berliner Weissbier","5.50%",4.43,285,136,"120 NW 24th St","","Miami","FL","33127"
"J. Wakefield Brewing",148,"Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.41,288,136,"120 NW 24th St","","Miami","FL","33127"
"Jackie O's Pub & Brewery",120,"Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.43,429,174,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",236,"Bourbon Barrel Black Maple","American Porter","11.00%",4.35,898,188,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",152,"Oro Negro","American Double / Imperial Stout","10.50%",4.41,637,17,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",213,"Bourbon Barrel Oro Negro","American Double / Imperial Stout","11.00%",4.37,251,124,"24 W Union St","","Athens","OH","45701"
"Jester King Brewery",164,"Montmorency Vs Balaton","American Wild Ale","6.70%",4.4,687,151,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Jester King Brewery",64,"Atrial Rubicite","American Wild Ale","5.80%",4.48,1678,44,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Kane Brewing Company",44,"Sunday Brunch","American Porter","9.20%",4.51,479,151,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kane Brewing Company",194,"Mexican Brunch","American Porter","9.20%",4.38,197,88,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kern River Brewing Company",35,"Citra","American Double / Imperial IPA","8.00%",4.54,1712,128,"13415 Sierra Way","","Kernville","CA","93238"
"Kern River Brewing Company",216,"Winter Ale (5th Anniversary Ale)","American Double / Imperial IPA","8.00%",4.37,338,194,"13415 Sierra Way","","Kernville","CA","93238"
"Kuhnhenn Brewing Company",217,"Kuhnhenn Raspberry Eisbock","Eisbock","15.50%",4.37,1232,138,"5919 Chicago Rd","","Warren","MI","48092"
"Kuhnhenn Brewing Company",67,"Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1886,133,"5919 Chicago Rd","","Warren","MI","48092"
"La Cumbre Brewing Company",249,"Project Dank","American IPA","7.50%",4.34,791,16,"3313 Girard Blvd NE","","Albuquerque","NM","87107"
"Lagunitas Brewing Company",242,"High West-ified Imperial Coffee Stout","American Double / Imperial Stout","12.20%",4.35,1526,91,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lagunitas Brewing Company",160,"Born Yesterday Pale Ale","American Pale Ale (APA)","7.00%",4.4,2211,134,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lawson's Finest Liquids",37,"Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.54,577,151,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids",31,"Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4324,146,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids",36,"Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2106,117,"Not Open to Public","","Warren","VT","5674"
"Lift Bridge Brewery",212,"Barrel-Aged Silhouette","Russian Imperial Stout","10.00%",4.37,343,132,"1900 Tower Dr W","","Stillwater","MN","55082"
"Live Oak Brewing Company",241,"Live Oak HefeWeizen","Hefeweizen","5.20%",4.35,1578,137,"1615 Crozier Ln","","Del Valle","TX","78617"
"Logsdon Farmhouse Ales",205,"Peche 'n Brett","Saison / Farmhouse Ale","10.00%",4.37,1251,52,"4785 Booth Hill Rd","","Hood River","OR","97031"
"Maine Beer Company",12,"Dinner","American Double / Imperial IPA","8.20%",4.63,1876,78,"525 US Route 1","","Freeport","ME","4032"
"Minneapolis Town Hall Brewery",250,"Masala Mama India Pale Ale","American IPA","6.00%",4.34,1361,163,"1430 Washington Ave S","","Minneapolis","MN","55454"
"New England Brewing Company",240,"Locust Reign","American Double / Imperial IPA","8.50%",4.35,294,125,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company",81,"Fuzzy Baby Ducks IPA","American IPA","6.20%",4.47,737,185,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company",145,"Coriolis","American Double / Imperial IPA","8.20%",4.41,560,164,"175 Amity Rd","","Woodbridge","CT","6525"
"New Glarus Brewing Company",237,"Wisconsin Belgian Red","Fruit / Vegetable Beer","4.00%",4.35,3507,196,"2400 Hwy 69","","New Glarus","WA","53574"
"New Glarus Brewing Company",238,"Serendipity","Fruit / Vegetable Beer","4.00%",4.35,2796,98,"2400 Hwy 69","","New Glarus","WA","53574"
"Noble Ale Works",200,"Citra Showers","American Double / Imperial IPA","8.80%",4.38,479,165,"1621 S Sinclair St","","Anaheim","CA","92806"
"Other Half Brewing Company",215,"All Green Everything","American Double / Imperial IPA","10.50%",4.37,954,25,"195 Centre St","","Brooklyn","NY","11231"
"Other Half Brewing Company",219,"Mosaic IPA","American IPA","7.20%",4.37,355,130,"195 Centre St","","Brooklyn","NY","11231"
"Ozark Beer Company",77,"BDCS","American Double / Imperial Stout","10.20%",4.47,307,151,"1700 S 1st St","","Rogers","AR","72756"
"Parish Brewing Company",187,"Ghost In The Machine","American Double / Imperial IPA","8.00%",4.39,533,182,"229 Jared Dr","","Broussard","LA","70518"
"Peg's Cantina & Brew Pub",116,"Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.44,168,95,"Closed","","","",""
"Peg's Cantina & Brew Pub",228,"Trademark Dispute: Nooner 10","American Double / Imperial Stout","12.00%",4.36,230,124,"Closed","","","",""
"Peg's Cantina & Brew Pub",207,"Trademark Dispute: &+","American Double / Imperial Stout","10.50%",4.37,240,122,"Closed","","","",""
"Peg's Cantina & Brew Pub",135,"Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.42,731,18,"Closed","","","",""
"Peg's Cantina & Brew Pub",138,"Rare Scooop","American Double / Imperial Stout","Imperial",4.42,103,77,"Closed","","","",""
"Peg's Cantina & Brew Pub",155,"Trademark Dispute: Pallet 1","American Double / Imperial Stout","10.40%",4.41,282,142,"Closed","","","",""
"Pelican Pub & Brewery",157,"Mother Of All Storms","English Barleywine","14.00%",4.41,1916,139,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
"Perennial Artisan Ales",151,"Abraxas","American Double / Imperial Stout","10.00%",4.41,2380,105,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perennial Artisan Ales",19,"Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1259,23,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perrin Brewery",115,"No Rules","American Porter","15.00%",4.44,984,64,"5910 Comstock Park Dr NW","","Comstock Park","MI","49321"
"Pipeworks Brewing Company",201,"Sure Bet","American Double / Imperial IPA","9.50%",4.38,512,157,"3912 W McLean Ave","","Chicago","IL","60647"
"Pipeworks Brewing Company",190,"Spotted Puffer","American Double / Imperial IPA","9.50%",4.39,295,136,"3912 W McLean Ave","","Chicago","IL","60647"
"Prairie Artisan Ales",75,"BOMB!","American Double / Imperial Stout","13.00%",4.47,5659,181,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",125,"Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.43,986,48,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",130,"Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.42,1410,59,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",96,"Pirate Bomb!","American Double / Imperial Stout","14.00%",4.45,1910,71,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Russian River Brewing Company",55,"Supplication","American Wild Ale","7.00%",4.49,6214,7,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",93,"Beatification","American Wild Ale","5.50%",4.46,2590,152,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",161,"Consecration","American Wild Ale","10.00%",4.4,5189,2,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",6,"Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2985,189,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",18,"Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14145,108,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",143,"Temptation","American Wild Ale","7.50%",4.41,3625,1,"725 4th St","","Santa Rosa","CA","95404"
"Sante Adairius Rustic Ales",153,"Saison Bernice","Saison / Farmhouse Ale","6.50%",4.41,835,175,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales",172,"West Ashley","American Wild Ale","7.30%",4.4,939,186,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales",163,"Westly","American Wild Ale","8.50%",4.4,229,110,"103 Kennedy Dr","","Capitola","CA","95010"
"Side Project Brewing",53,"Fuzzy","American Wild Ale","8.00%",4.5,700,169,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing",189,"Saison Du Fermier","Saison / Farmhouse Ale","7.00%",4.39,615,136,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing",221,"Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)","American Double / Imperial Stout","15.00%",4.37,40,33,"7373 Marietta Ave","","Maplewood","MI","63143"
"SingleCut Beersmiths",177,"Softly Spoken Magic Spells","American Double / Imperial IPA","8.60%",4.39,573,34,"19-33 37th St","","Queens","NY","11105"
"Societe Brewing Company",223,"The Pupil","American IPA","7.80%",4.36,874,188,"8262 Clairemont Mesa Blvd","","San Diego","CA","92111"
"Stone Brewing",188,"Stone Enjoy By IPA","American Double / Imperial IPA","9.40%",4.39,10536,6,"1999 Citracado Parkway","","Escondido","CA","92029"
