"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
83,"Black Gold (2015)","Central Waters Brewing Co.","American Double / Imperial Stout","11.00% ABV",4.43,132,265
84,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.43,159,501
85,"Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.43,27,1243
86,"No Rules","Perrin Brewery","American Porter","15.00% ABV",4.43,26,507
87,"Double Dry Hopped Congress Street","Trillium Brewing Company","American IPA","7.20% ABV",4.43,115,443
88,"Maple Bacon Coffee Porter","Funky Buddha Brewery","American Porter","6.40% ABV",4.42,54,1352
89,"Congress Street IPA","Trillium Brewing Company","American IPA","7.20% ABV",4.42,28,1181
90,"Swish","Bissell Brothers Brewing Co.","American Double / Imperial IPA","8.00% ABV",4.42,158,515
91,"Resolute - Coconut","Brothers Craft Brewing","American Double / Imperial Stout","13.50% ABV",4.42,77,46
92,"Headroom Double IPA","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.42,112,173
93,"Bourbon Barrel Champion Ground","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00% ABV",4.42,125,186
94,"Last Snow","Funky Buddha Brewery","American Porter","6.50% ABV",4.42,48,1223
95,"St. Bernardus Abt 12","Brouwerij St. Bernardus NV","Quadrupel (Quad)","10.00% ABV",4.42,65,8835
96,"Stickee Monkee","Firestone Walker Brewing Co.","Quadrupel (Quad)","12.00% ABV",4.42,72,1994
97,"Cantillon Saint Lamvinus","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.41,134,1872
98,"Imperial Russian Stout - Bourbon Barrel Aged","Stone Brewing Co.","Russian Imperial Stout","11.50% ABV",4.41,39,1043
99,"Drie Fonteinen Framboos","Brouwerij Drie Fonteinen","Lambic - Fruit","5.00% ABV",4.41,189,500
100,"Keene Idea","Alpine Beer Company","American Double / Imperial IPA","8.88% ABV",4.41,147,415
101,"Darkness","Surly Brewing Company","Russian Imperial Stout","10.30% ABV",4.41,180,3406
102,"Double Shot - Sumatra Mandheling","Tree House Brewing Company","American Stout","7.80% ABV",4.41,125,341
103,"Juice Machine","Tree House Brewing Company","American Double / Imperial IPA","8.20% ABV",4.41,80,71
104,"Fuzzy","Side Project Brewing","American Wild Ale","8.00% ABV",4.41,114,416
105,"Cantillon Lou Pepe - Framboise","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.4,92,1113
106,"Mother Of All Storms","Pelican Pub & Brewery","English Barleywine","14.00% ABV",4.4,129,1777
107,"Imperial Eclipse Stout - Elijah Craig (12 Year)","FiftyFifty Brewing Co.","American Double / Imperial Stout","11.90% ABV",4.4,90,1689
108,"Consecration","Russian River Brewing Company","American Wild Ale","10.00% ABV",4.4,2,4890
109,"Peg's G.O.O.D. RareR D.O.S.","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.00% ABV",4.4,18,677
110,"Bad Boy","Alpine Beer Company","American Double / Imperial IPA","9.00% ABV",4.4,30,507
111,"Temptation","Russian River Brewing Company","American Wild Ale","7.50% ABV",4.4,194,3411
112,"Epiphany","Foundation Brewing Company","American Double / Imperial IPA","8.00% ABV",4.4,184,527
113,"Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","10.50% ABV",4.4,156,377
114,"Evil Twin Double Barrel Jesus","Evil Twin Brewing","American Double / Imperial Stout","12.00% ABV",4.4,143,437
115,"Chocolate Rain","The Bruery","American Double / Imperial Stout","18.50% ABV",4.4,103,2391
116,"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Hefeweizen","5.40% ABV",4.4,62,7640
117,"Samuel Adams Utopias","Boston Beer Company (Samuel Adams)","American Strong Ale","29.00% ABV",4.4,142,2273
118,"Sunday Brunch","Kane Brewing Company","American Porter","9.20% ABV",4.4,84,234
119,"Dreadnaught IPA","3 Floyds Brewing Co.","American Double / Imperial IPA","9.50% ABV",4.4,11,5721
120,"Wide Awake It's Morning","Funky Buddha Brewery","American Double / Imperial Stout","10.50% ABV",4.4,147,226
121,"Stone Enjoy By IPA","Stone Brewing Co.","American Double / Imperial IPA","9.40% ABV",4.39,5,9984
122,"A Deal With The Devil","Anchorage Brewing Company","American Barleywine","17.30% ABV",4.39,19,806
123,"Pallet 1","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.39,119,189
124,"All Green Everything","Other Half Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.39,185,724
125,"Coriolis","New England Brewing Co.","American Double / Imperial IPA","8.20% ABV",4.39,133,405
126,"Double Shot","Tree House Brewing Company","American Stout","7.60% ABV",4.39,114,503
127,"Matt","Hair of the Dog Brewing Company / Brewery and Tasting Room","American Strong Ale","11.50% ABV",4.39,81,786
128,"See The Stars","Creature Comforts","Russian Imperial Stout","10.90% ABV",4.39,123,120
129,"Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","10.00% ABV",4.39,78,1946
130,"Rodenbach Caractère Rouge","Brouwerij Rodenbach N.V.","Flanders Red Ale","7.00% ABV",4.39,47,1171
131,"Born Yesterday Pale Ale","Lagunitas Brewing Company","American Pale Ale (APA)","6.50% ABV",4.39,96,1559
132,"Framboise Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","8.00% ABV",4.39,80,138
133,"Great","Alpine Beer Company","American Barleywine","14.00% ABV",4.39,41,581
134,"Péché Mortel","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.39,13,4659
135,"Yellow Rose","The Lone Pint Brewery","American IPA","6.80% ABV",4.39,40,1278
136,"Bourbon Barrel Aged Dark Star: Coffee Edition","Fremont Brewing Company","American Double / Imperial Stout","14.50% ABV",4.38,114,351
137,"Nelson","Alpine Beer Company","American IPA","7.00% ABV",4.38,171,3667
138,"Hop JuJu Imperial IPA","Fat Head's Brewery & Saloon","American Double / Imperial IPA","9.00% ABV",4.38,49,1587
139,"Prairie Pirate Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","14.00% ABV",4.38,24,1464
140,"Citra Showers","Noble Ale Works","American Double / Imperial IPA","8.80% ABV",4.38,152,392
141,"Edward","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.38,102,2253
142,"Sculpin IPA","Ballast Point Brewing Company","American IPA","7.00% ABV",4.38,61,12679
143,"AleSmith Speedway Stout - Vietnamese Coffee","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.38,19,1291
144,"Second Fiddle","Fiddlehead Brewing Company","American Double / Imperial IPA","8.20% ABV",4.37,36,1403
145,"Snowed In - Bourbon Barrel Aged","Funky Buddha Brewery","American Double / Imperial Stout","11.00% ABV",4.37,74,99
146,"Saison Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","7.00% ABV",4.37,123,548
147,"Peche 'n Brett","Logsdon Farmhouse Ales","Saison / Farmhouse Ale","10.00% ABV",4.37,35,1072
148,"Exponential Hoppiness","Alpine Beer Company","American Double / Imperial IPA","11.00% ABV",4.37,122,1241
149,"Cascade Sang Noir","Cascade Brewing / Raccoon Lodge & Brewpub","American Wild Ale","9.50% ABV",4.37,51,1424
150,"Mosaic Dry Hopped Fort Point","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.37,115,381
151,"Drie Fonteinen Hommage","Brouwerij Drie Fonteinen","Lambic - Fruit","6.00% ABV",4.37,43,699
152,"Bourbon Barrel Black Maple","Jackie O's Pub & Brewery","American Porter","11.00% ABV",4.37,166,724
153,"Juicy","Hill Farmstead Brewery","Saison / Farmhouse Ale","7.40% ABV",4.37,137,228
154,"AleSmith Speedway Stout","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.37,10,6075
155,"Kuhnhenn Raspberry Eisbock","Kuhnhenn Brewing Company","Eisbock","15.50% ABV",4.37,131,1156
156,"Caffè Americano","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.36,143,567
157,"Afterimage","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.36,119,160
158,"Sure Bet","Pipeworks Brewing Company","American Double / Imperial IPA","9.50% ABV",4.36,146,443
159,"Cantillon Gueuze 100% Lambic","Brasserie Cantillon","Gueuze","5.00% ABV",4.36,153,2886
160,"Uncle Jacob's Stout","Avery Brewing Company","American Double / Imperial Stout","16.90% ABV",4.36,97,2103
161,"Vicinity","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.36,187,750
162,"The Pupil","Societe Brewing Co.","American IPA","7.80% ABV",4.36,173,786
163,"Cantillon Lou Pepe - Gueuze","Brasserie Cantillon","Gueuze","5.00% ABV",4.36,56,970
164,"Tweak","Avery Brewing Company","American Double / Imperial Stout","17.81% ABV",4.35,53,1577
165,"Wisconsin Belgian Red","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.35,192,3269
166,"Live Oak HefeWeizen","Live Oak Brewing Company","Hefeweizen","5.20% ABV",4.35,118,1264
167,"R&D Vintage 2014","New Glarus Brewing Company","American Wild Ale","6.00% ABV",4.35,133,281
168,"Hop Venom Double IPA","Boneyard Beer Company","American Double / Imperial IPA","8.90% ABV",4.35,20,812
169,"Project Dank","La Cumbre Brewing Co.","American IPA","7.50% ABV",4.35,173,704
170,"Grey Monday","The Bruery","American Double / Imperial Stout","19.50% ABV",4.35,31,1511
171,"Montmorency Vs Balaton","Jester King Brewery","American Wild Ale","6.70% ABV",4.35,112,541
172,"Society & Solitude #6","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.35,143,532
173,"Péché Mortel En Fût De Bourbon Américain","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.35,172,359
174,"Brew 1000 - Bourbon Barrel Aged","Fremont Brewing Company","English Barleywine","13.10% ABV",4.35,52,63
175,"Nooner Batch 10","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.35,84,132
176,"Mexican Cake","Westbrook Brewing Co.","American Double / Imperial Stout","10.50% ABV",4.35,89,2302
177,"Victory At Sea Coffee Vanilla Imperial Porter","Ballast Point Brewing Company","American Porter","10.00% ABV",4.34,4,6100
178,"Masala Mama India Pale Ale","Minneapolis Town Hall Brewery","American IPA","6.00% ABV",4.34,163,1322
179,"West Ashley","Sante Adairius Rustic Ales","American Wild Ale","7.30% ABV",4.34,156,746
180,"Aaron","Hill Farmstead Brewery","English Barleywine",NA,4.34,87,277
181,"What Is Enlightenment?","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.34,17,821
182,"BDCS","Ozark Beer Co.","American Double / Imperial Stout","10.20% ABV",4.34,44,84
183,"Double Dry Hopped Sleeper Street IPA","Trillium Brewing Company","American IPA","7.10% ABV",4.34,104,273
184,"Stone Imperial Russian Stout","Stone Brewing Co.","Russian Imperial Stout","10.60% ABV",4.34,66,7960
185,"Bourbon Abominable Winter Ale","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.34,35,879
186,"&+","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.50% ABV",4.34,93,131
187,"Breakfast Exorcism","Clown Shoes","American Double / Imperial Stout","11.00% ABV",4.34,114,219
188,"Madagascar","4 Hands Brewing Co.","Milk / Sweet Stout","9.30% ABV",4.34,114,381
189,"The Event Horizon","Olde Hickory Brewery","American Double / Imperial Stout","8.50% ABV",4.34,88,1550
190,"Serendipity","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.34,85,2540
191,"Last Buffalo In The Park","Funky Buddha Brewery","American Double / Imperial Stout","11.50% ABV",4.33,38,140
192,"Damon (Bourbon Barrel Aged)","Hill Farmstead Brewery","Russian Imperial Stout","10.50% ABV",4.33,179,605
193,"Citra Pale Ale","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.33,22,876
194,"Raspberry Tart","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.33,190,3555
195,"Omega Point","Olde Hickory Brewery","English Barleywine","10.00% ABV",4.33,137,351
196,"Arctic Devil Barley Wine","Midnight Sun Brewing Co.","English Barleywine","13.20% ABV",4.33,113,1225
197,"Tesseract","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.33,127,216
198,"Birth Of Tragedy","Hill Farmstead Brewery","American Porter","9.00% ABV",4.33,46,1067
199,"Melcher Street IPA","Trillium Brewing Company","American IPA","7.30% ABV",4.33,156,563
200,"Old Stock Cellar Reserve (Aged In Bourbon Barrels)","North Coast Brewing Co.","Old Ale","13.16% ABV",4.33,109,943
201,"Drie Fonteinen Oude Geuze","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.33,165,2489
202,"Lunch","Maine Beer Company","American IPA","7.00% ABV",4.33,160,4477
203,"Beyond Good And Evil","Hill Farmstead Brewery","American Double / Imperial Stout",NA,4.33,130,507
204,"Spotted Puffer","Pipeworks Brewing Company","American Double / Imperial IPA","9.50% ABV",4.33,95,186
205,"Ten FIDY","Oskar Blues Grill & Brew","Russian Imperial Stout","10.50% ABV",4.33,64,9223
206,"Tröegs Nugget Nectar","Tröegs Brewing Company","American Amber / Red Ale","7.50% ABV",4.33,63,7906
207,"Ayinger Celebrator Doppelbock","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","Doppelbock","6.70% ABV",4.33,60,6070
208,"Saison Bernice","Sante Adairius Rustic Ales","Saison / Farmhouse Ale","6.50% ABV",4.33,140,659
209,"Evil Twin Imperial Biscotti Break","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.33,135,3631
210,"Founders Imperial Stout","Founders Brewing Company","Russian Imperial Stout","10.50% ABV",4.33,12,7156
211,"Melange No. 3","The Bruery","American Strong Ale","15.50% ABV",4.33,83,1742
212,"Elevated IPA","La Cumbre Brewing Co.","American IPA","7.20% ABV",4.32,50,1207
213,"Civil Disobedience #15","Hill Farmstead Brewery","Saison / Farmhouse Ale","11.00% ABV",4.32,87,120
214,"Nut Smasher","Willoughby Brewing","American Double / Imperial Stout","11.00% ABV",4.32,108,176
215,"Hipster Brunch Stout","Odd Side Ales","American Double / Imperial Stout","10.00% ABV",4.32,150,399
216,"Pannepot","De Struise Brouwers","Quadrupel (Quad)","10.00% ABV",4.32,177,2280
217,"30th Anniversary Ale","Bell's Brewery, Inc.","American Double / Imperial Stout","11.00% ABV",4.32,76,1016
218,"Nelson Single Hop","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.32,148,399
219,"Monsters Park - Bourbon Barrel Aged With Coconut And Cacao Nibs","Modern Times Beer","American Double / Imperial Stout","13.00% ABV",4.32,44,132
220,"Mastermind","Fiddlehead Brewing Company","American Double / Imperial IPA","8.10% ABV",4.32,16,1041
221,"AleSmith Speedway Stout - Kopi Luwak","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.32,170,519
222,"Fat Head's Head Hunter IPA","Fat Head's Brewery & Saloon","American IPA","7.50% ABV",4.32,144,3815
223,"Heavy Mettle","Trillium Brewing Company","American Double / Imperial IPA","9.30% ABV",4.32,101,390
224,"Wulver","Thirsty Dog Brewing Company","Scotch Ale / Wee Heavy","12.00% ABV",4.32,54,1458
225,"Black Damnation V - Double Black","De Struise Brouwers","American Double / Imperial Stout","26.00% ABV",4.32,24,326
226,"Bourbon Barrel Aged Hi-Fi Rye","Flossmoor Station Restaurant & Brewery","American Barleywine","10.90% ABV",4.32,24,324
227,"Lagunitas Sucks (Brown Shugga Substitute Ale)","Lagunitas Brewing Company","American Double / Imperial IPA","7.85% ABV",4.32,9,9740
228,"Pipeworks / 4 Hands Square Grouper","Pipeworks Brewing Company","American Double / Imperial IPA",NA,4.32,151,633
229,"Blind Pig IPA","Russian River Brewing Company","American IPA","6.10% ABV",4.32,6,5447
230,"Bitter Monk","Anchorage Brewing Company","Belgian IPA","9.00% ABV",4.32,82,944
231,"Great Lakes Barrel-Aged Blackout Stout","Great Lakes Brewing Co.","Russian Imperial Stout","9.50% ABV",4.32,126,1732
232,"Allagash Coolship Red","Allagash Brewing Company","Lambic - Fruit","5.70% ABV",4.31,173,465
233,"Box Set Track #10 - Bat Out Of Hell","The Lost Abbey","American Double / Imperial Stout","13.50% ABV",4.31,173,653
234,"Pure Hoppiness","Alpine Beer Company","American Double / Imperial IPA","8.00% ABV",4.31,177,3034
235,"Older Viscosity","Port Brewing","American Double / Imperial Stout","12.00% ABV",4.31,169,2542
236,"Duet","Alpine Beer Company","American IPA","7.00% ABV",4.31,168,3599
237,"Crank IPA","Peg's Cantina & Brew Pub","American IPA","7.00% ABV",4.31,128,390
238,"Parabajava","Firestone Walker Brewing Co.","Russian Imperial Stout","14.00% ABV",4.31,71,207
239,"Stillwater / Westbrook Gose Gone Wild","Stillwater Artisanal Ales","Gose","4.60% ABV",4.31,140,613
240,"Three Hour Tour","Minneapolis Town Hall Brewery","Milk / Sweet Stout","6.10% ABV",4.31,183,280
241,"Kuhnhenn Bourbon Barrel Barley Wine","Kuhnhenn Brewing Company","English Barleywine","14.50% ABV",4.31,57,670
242,"Allagash Cuvée D'Industrial","Allagash Brewing Company","American Wild Ale","7.50% ABV",4.31,159,326
243,"Mocha Wednesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.31,181,997
244,"Ghost In The Machine","Parish Brewing Company","American Double / Imperial IPA","8.00% ABV",4.31,127,291
245,"La Fin Du Monde","Unibroue","Tripel","9.00% ABV",4.31,70,9554
246,"Mosaic IPA","Other Half Brewing Co.","American IPA","7.20% ABV",4.31,104,245
247,"Miami Madness","J. Wakefield Brewing","Berliner Weissbier","3.50% ABV",4.31,44,90
248,"Grassroots Brother Soigné","Grassroots Brewing","Saison / Farmhouse Ale","5.00% ABV",4.31,25,1080
249,"Genealogy Of Morals (Bourbon Barrel Aged)","Hill Farmstead Brewery","American Double / Imperial Stout","10.70% ABV",4.31,119,402
250,"Schneider Weisse Tap 6 Unser Aventinus","Weisses Bräuhaus G. Schneider & Sohn GmbH","Weizenbock","8.20% ABV",4.31,58,4229
