Brewery,Street,Street2,City,State,Zip,Latitude,Longitude
Monkish Brewing Company,20311 S Western Ave,, Torrance,CA,90501,33.8463468,-118.3125374
Moonraker Brewing Company,12970 Earhart Ave #100,,Auburn,CA,95602,38.9504884,-121.0837605
New Belgium Brewing Inc.,500 Linden Street,,Fort Collins,CO,80524,39.72423185,-121.8154556
New England Brewing Company,175 Amity Rd,,Woodbridge,CT,6525,32.754233,-117.206153
New Glarus Brewing Company,2400 Hwy 69,,New Glarus,WA,53574,41.33934991,-72.98083608
New Holland Brewing Company,66 E 8th St,,Holland,MI,49423,42.8042429,-86.1267247
Night Shift Brewing,87 Santilli Hwy,,Everett,MA,2149,42.4059707,-71.0700747
Noble Ale Works,1621 S Sinclair St,,Anaheim,CA,92806,33.80929616,-117.8803057
North Coast Brewing Company,455 N Main St,,Fort Bragg,CA,95437,39.4480214,-123.8059045
North Peak Brewing Company,400 W Front St,,Traverse City,MI,49684,44.7642342,-85.6306096
Odd Side Ales,41 Washington Ave #160,,Grand Haven,MI,49417,43.0649497,-86.2348668
Odell Brewing Company,800 E Lincoln Ave,,Fort Collins,CO,80524,40.5894674,-105.0653706
Old Nation Brewing Company,1500 E Grand River Ave,,Williamston,MI,48895,42.6874147,-84.305347
Olde Hickory Brewery,2 Third Street SW,,Hickory,NC,28602,35.7312007,-81.3444506
Omnipollo,Tjärhovsgatan 6,,Stockholm,Sweden,116 21 ,59.3148865,18.0726918
Oskar Blues Grill & Brew,303 Main St,,Lyons,CO,80540,40.22451332,-105.2676934
Other Half Brewing Company,195 Centre St,,Brooklyn,NY,11231,40.673855,-73.99908
Otter Creek Brewing,793 Exchange St,,Middlebury,VT,5753,44.0293756,-73.1745362
Ozark Beer Company,1700 S 1st St,,Rogers,AR,72756,36.3168272,-94.1178372
Parish Brewing Company,229 Jared Dr,,Broussard,LA,70518,30.159067,-91.951422
Peg's Cantina & Brew Pub,Closed,,,,0,47.0525739,-122.2942229
Pelican Pub & Brewery,33180 Cape Kiwanda Dr.,,Pacific City,OR,97135,45.21550758,-123.9695719
Perennial Artisan Ales,8125 Michigan Ave,,Saint Louis,MI,63111,38.5529585,-90.256699
Perrin Brewery,5910 Comstock Park Dr NW,,Comstock Park,MI,49321,43.0713315,-85.6836078
Pipeworks Brewing Company,3912 W McLean Ave,,Chicago,IL,60647,41.9181739,-87.72612963
Port Brewing,155 Mata Way #104,,San Marcos,CA,92069,33.1416499,-117.1514779
Prairie Artisan Ales,1803 S 49th West Ave,,Tulsa,OK,74107,41.9181739,-87.72612963
Privatbrauerei Franz Inselkammer KG / Brauerei Aying,Münchener Str. 21,,Aying,Germany,85653,47.972043,11.7719123
RAR Brewing (Realerevival),504 Poplar St,,Cambridge,MD,21613,38.5702568,-76.0797356
River Horse Brewing Company,2 Graphics Dr,,Ewing Township,NJ,8628,40.2765859,-74.7987052
Rogue Ales,2320 SE Marine Science Dr,, Newport,OR,97365,37.954205,-119.8470415
Russian River Brewing Company,725 4th St,,Santa Rosa,CA,95404,36.13683008,-96.04715201
Saint Arnold Brewing Company,2000 Lyons Ave,,Houston,TX,77020,29.771119,-95.3507547
Sand City Brewing Company,60 Main St,,Northport,NY,11768,40.8999112,-73.3530317
Sante Adairius Rustic Ales,103 Kennedy Dr,,Capitola,CA,95010,38.44148971,-122.7119479
Scofflaw Brewing Company,1738 MacArthur Blvd NW,,Atlanta,GA,30318,33.8132889,-84.4470655
Side Project Brewing,7373 Marietta Ave,,Maplewood,MI,63143,36.9822865,-121.9405747
Sierra Nevada Brewing Company,1075 E. 20th Street,,Chico,CA,95928,40.59335825,-105.0678421
SingleCut Beersmiths,19-33 37th St,,Queens,NY,11105,38.6120101,-90.31941177
Societe Brewing Company,8262 Clairemont Mesa Blvd,,San Diego,CA,92111,40.77829555,-73.90167146
Southern Tier Brewing Company,2072 Stoneman Cir,,Lakewood,NY,14750,41.2622393,-80.8009585
Steamworks Brewing Company,801 E 2nd Ave,,Durango,CO,81301,37.2723368,-107.882191
Stigbergets Bryggeri,Gamla Varvsgatan 1,,Göteborg,Sweden,414 59 ,57.6986059,11.9286729
Stillwater Artisanal Ales,1028 S Conkling St,,Baltimore,MD,21224,39.2807461,-76.5691672
Stone Brewing,1999 Citracado Parkway,,Escondido,CA,92029,33.11594475,-117.1199645
Suarez Family Brewery,2278 U.S. 9,,Hudson,NY,12534,42.110981,-73.8145327
Summit Brewing Company,910 Montreal Cir,,St Paul,MN,55102,44.914066,-93.1417977
Surly Brewing Company,4811 Dusharme Dr,,Brooklyn Center,MN,55429,45.04294225,-93.32438933
SweetWater Brewing Company,195 Ottley Dr NE,,Atlanta,GA,30324,33.8083449,-84.3829239
Tallgrass Brewing Company,5960 Dry Hop Cir,,Manhattan,KS,66503,39.1427364,-96.6792529
Terrapin Beer Company,265 Newton Bridge Rd,,Athens,GA,30607,33.980502,-83.3988743
The Alchemist,35 Crossroad,,Waterbury,VT,5676,32.83283939,-117.1499567
The Bruery,715 Dunn Way,,Placentia,CA,92870,33.8612257,-117.8801465
The Lone Pint Brewery,507 Commerce St,,Magnolia,TX,77355,33.8612257,-117.8801465
The Lost Abbey,155 Mata Way #104,,San Marcos,CA,92069,30.20898494,-95.75217492
The Schlafly Tap Room,2100 Locust St,,St. Louis,MO,63103,38.6330458,-90.2119459
The Tap Brewing Company,100 Washington St,,Haverhill,MA,1832,42.7727232,-71.0874632
The Veil Brewing Company,1301 Roseneath Rd,,Richmond,VA,23230,37.5683137,-77.477533
Thirsty Dog Brewing Company,529 Grant St,,Akron,OH ,44311,41.0689201,-81.5198163
Thomas Hooker Brewing Company,16 Tobey Rd,,Bloomfield,CT,6002,41.809184,-72.7128777
Three Floyds Brewing Company,9750 Indiana Pkwy,,Munster,IN,46321,41.5353502,-87.5165134
