"Brewery","Beer","Rank","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Founders Brewing Company","Founders Breakfast Stout",76,"American Double / Imperial Stout","8.30%",4.47,16166,100,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)",26,"American Double / Imperial Stout","12.40%",4.56,11991,97,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company","Founders CBS Imperial Stout",13,"American Double / Imperial Stout","10.60%",4.62,4256,188,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Fremont Brewing Company","The Rusty Nail",95,"American Double / Imperial Stout","13.20%",4.45,158,110,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Abominable Winter Ale",237,"American Strong Ale","14.00%",4.35,1017,51,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon",66,"American Strong Ale","14.00%",4.48,713,183,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout",126,"Oatmeal Stout","14.50%",4.42,404,147,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged",114,"English Barleywine","13.10%",4.43,157,106,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition",165,"Oatmeal Stout","14.50%",4.4,521,140,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Funky Buddha Brewery","Last Buffalo In The Park",232,"American Double / Imperial Stout","11.50%",4.36,142,47,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Maple Bacon Coffee Porter",127,"American Porter","6.40%",4.42,1689,82,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Last Snow",128,"American Porter","6.40%",4.42,1664,78,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Morning Wood",23,"American Porter","12.00%",4.57,547,178,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged",53,"American Double / Imperial Stout","11.00%",4.5,274,123,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Wide Awake It's Morning",88,"American Double / Imperial Stout","10.00%",4.46,616,20,"1201 NE 38th St","","Oakland Park","FL","33334"
"Goose Island Beer Company","Bourbon County Brand Stout",51,"American Double / Imperial Stout","13.80%",4.5,11897,69,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company","Bourbon County Brand Coffee Stout",21,"American Double / Imperial Stout","13.40%",4.57,6878,3,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company","Bourbon County Brand Barleywine Ale",78,"English Barleywine","12.10%",4.47,4942,143,"1800 W Fulton St","","Chicago","IL","60612"
"Grimm Artisanal Ales","Afterimage",137,"American Double / Imperial IPA","8.00%",4.41,425,166,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Tesseract",228,"American Double / Imperial IPA","8.00%",4.36,459,164,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Lumen",215,"American IPA","6.40%",4.36,248,121,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Lambo Door",234,"American Double / Imperial IPA","8.00%",4.36,481,186,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Magnetic Compass",239,"American IPA","6.40%",4.35,157,106,"PO Box 150472","","Brooklyn","NY","11215"
"Hair of the Dog Brewing Company / Brewery and Tasting Room","Matt",172,"American Strong Ale","11.50%",4.39,826,83,"61 SE Yamhill St","","Portland","OR","97214"
