"","Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"65","Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge","Spanjestraat 133-141","","Roeselare","Belgium","8800","50.9460394,",3.1348165
"66","Brouwerij Rodenbach N.V.","Alexander (2016)","Spanjestraat 133-141","","Roeselare","Belgium","8800","50.9460394,",3.1348165
"67","Brouwerij Rodenbach N.V.","Alexander","Spanjestraat 133-141","","Roeselare","Belgium","8800","50.9460394,",3.1348165
"68","Brouwerij St. Bernardus NV","St. Bernardus Abt 12","Trappistenweg 23","","Watou","Belgium","8978","50.8419221",2.638534421
"69","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Donkerstraat 12","","Westvleteren","Belgium","8640","45.4870915",-122.7429931
"70","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Donkerstraat 12","","Westvleteren","Belgium","8640","45.4870915",-122.7429931
"71","Buxton Brewery","Buxton / Omnipollo Yellow Belly","Staden Business Park","","Buxton","UK","SK17 9RZ","53.2459354",-1.8982394
"72","Captain Lawrence Brewing Company","Cuvee De Castleton","444 Saw Mill River Rd","","Elmsford","NY","10523","41.0704017",-73.8167091
"73","Cascade Brewing / Raccoon Lodge & Brewpub","Cascade Sang Noir","7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225","45.4870915",-122.7429931
"74","Central Waters Brewing Company","Black Gold (2015)","351 Allen St","","Amherst","WI","54406","44.4421815",-89.2819771
"75","Central Waters Brewing Company","Seventeen","351 Allen St","","Amherst","WI","54406","44.4421815",-89.2819771
"76","Cigar City Brewing","Hunahpu's Imperial Stout","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"77","Cigar City Brewing","Zhukov's Final Push","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"78","Cigar City Brewing","Decoherence","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"79","Cigar City Brewing","Marshal Zhukov's Imperial Stout - Apple Brandy Barrel Aged W/ Vanilla Beans","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
"80","Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","3924 W Spruce St","","Tampa","FL","33607","27.958895",-82.509196
