"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
58,"Atrial Rubicite","Jester King Brewery","American Wild Ale","5.80% ABV",4.46,32,1515
59,"Abrasive Ale","Surly Brewing Company","American Double / Imperial IPA","9.00% ABV",4.46,181,4172
60,"Dark Horse Bourbon Barrel Aged Plead The 5th","Dark Horse Brewing Company","Russian Imperial Stout","12.00% ABV",4.46,118,2815
61,"Black Tuesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.46,152,3485
62,"Beatification","Russian River Brewing Company","American Wild Ale","5.50% ABV",4.46,139,2438
63,"Cable Car","The Lost Abbey","American Wild Ale","7.00% ABV",4.46,71,854
64,"Fuzzy Baby Ducks IPA","New England Brewing Co.","American IPA","6.20% ABV",4.45,160,607
65,"Double Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.45,138,623
66,"Susan","Hill Farmstead Brewery","American IPA","6.20% ABV",4.45,35,1399
67,"Everett Porter","Hill Farmstead Brewery","American Porter","7.50% ABV",4.45,106,2288
68,"Cantillon Lou Pepe - Kriek","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.45,104,1571
69,"Hopslam Ale","Bell's Brewery, Inc.","American Double / Imperial IPA","10.00% ABV",4.45,94,11804
70,"Curiosity Twenty Two","Tree House Brewing Company","American IPA","7.00% ABV",4.45,103,179
71,"AleSmith Speedway Stout - Bourbon Barrel Aged","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.45,101,1816
72,"Drie Fonteinen Oude Geuze Golden Blend","Brouwerij Drie Fonteinen","Gueuze","7.50% ABV",4.45,43,839
73,"Juice Machine","Tree House Brewing Company","American Double / Imperial IPA","8.20% ABV",4.44,105,121
74,"Assassin Imperial Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.44,177,972
75,"Sosus","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.44,21,1043
76,"Imperial Biscotti Break Bourbon Barrel Aged","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.44,20,1305
77,"§ucaba","Firestone Walker Brewing Co.","English Barleywine","12.50% ABV",4.44,172,4599
78,"Society & Solitude #5","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.44,33,1220
79,"Drie Fonteinen Oude Geuze Vintage","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.44,26,626
80,"Upper Case","Trillium Brewing Company","American Double / Imperial IPA","9.00% ABV",4.44,125,379
81,"Permanent Funeral","3 Floyds Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.43,91,2561
82,"Columbus Bodhi DIPA","Columbus Brewing Company","American Double / Imperial IPA","8.50% ABV",4.43,37,1237
83,"Adam From The Wood","Hair of the Dog Brewing Company / Brewery and Tasting Room","Old Ale","12.00% ABV",4.43,36,858
84,"Black Gold (2015)","Central Waters Brewing Co.","American Double / Imperial Stout","11.00% ABV",4.43,128,275
85,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.43,155,510
86,"Notorious Triple IPA","Boneyard Beer Company","American Double / Imperial IPA","12.00% ABV",4.43,155,534
87,"Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.43,29,1256
88,"No Rules","Perrin Brewery","American Porter","15.00% ABV",4.43,25,516
89,"Double Dry Hopped Congress Street","Trillium Brewing Company","American IPA","7.20% ABV",4.43,111,444
90,"Swish","Bissell Brothers Brewing Co.","American Double / Imperial IPA","8.00% ABV",4.42,153,530
91,"Maple Bacon Coffee Porter","Funky Buddha Brewery","American Porter","6.40% ABV",4.42,49,1358
92,"Congress Street IPA","Trillium Brewing Company","American IPA","7.20% ABV",4.42,26,1186
93,"Headroom Double IPA","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.42,107,173
94,"Last Snow","Funky Buddha Brewery","American Porter","6.50% ABV",4.42,43,1236
95,"Bourbon Barrel Champion Ground","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00% ABV",4.42,121,188
96,"St. Bernardus Abt 12","Brouwerij St. Bernardus NV","Quadrupel (Quad)","10.00% ABV",4.42,61,8850
97,"Stickee Monkee","Firestone Walker Brewing Co.","Quadrupel (Quad)","12.00% ABV",4.42,68,1999
98,"Cantillon Saint Lamvinus","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.41,129,1873
99,"Imperial Russian Stout - Bourbon Barrel Aged","Stone Brewing Co.","Russian Imperial Stout","11.50% ABV",4.41,36,1046
100,"Imperial Eclipse Stout - Elijah Craig (12 Year)","FiftyFifty Brewing Co.","American Double / Imperial Stout","11.90% ABV",4.41,89,1694
101,"Drie Fonteinen Framboos","Brouwerij Drie Fonteinen","Lambic - Fruit","5.00% ABV",4.41,182,505
102,"Keene Idea","Alpine Beer Company","American Double / Imperial IPA","8.88% ABV",4.41,142,415
103,"Darkness","Surly Brewing Company","Russian Imperial Stout","10.30% ABV",4.41,174,3413
104,"Double Shot - Sumatra Mandheling","Tree House Brewing Company","American Stout","7.80% ABV",4.41,121,343
105,"Fuzzy","Side Project Brewing","American Wild Ale","8.00% ABV",4.41,110,417
106,"Epiphany","Foundation Brewing Company","American Double / Imperial IPA","8.00% ABV",4.4,184,544
107,"Cantillon Lou Pepe - Framboise","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.4,89,1116
108,"Mother Of All Storms","Pelican Pub & Brewery","English Barleywine","14.00% ABV",4.4,126,1783
109,"Consecration","Russian River Brewing Company","American Wild Ale","10.00% ABV",4.4,2,4899
110,"Bad Boy","Alpine Beer Company","American Double / Imperial IPA","9.00% ABV",4.4,30,509
111,"Peg's G.O.O.D. RareR D.O.S.","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.00% ABV",4.4,19,678
112,"Temptation","Russian River Brewing Company","American Wild Ale","7.50% ABV",4.4,188,3415
113,"Evil Twin Double Barrel Jesus","Evil Twin Brewing","American Double / Imperial Stout","12.00% ABV",4.4,141,443
114,"Chocolate Rain","The Bruery","American Double / Imperial Stout","18.50% ABV",4.4,100,2397
115,"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Hefeweizen","5.40% ABV",4.4,58,7653
116,"Samuel Adams Utopias","Boston Beer Company (Samuel Adams)","American Strong Ale","29.00% ABV",4.4,136,2276
117,"Dreadnaught IPA","3 Floyds Brewing Co.","American Double / Imperial IPA","9.50% ABV",4.4,12,5724
118,"Wide Awake It's Morning","Funky Buddha Brewery","American Double / Imperial Stout","10.50% ABV",4.4,142,226
119,"A Deal With The Devil","Anchorage Brewing Company","American Barleywine","17.30% ABV",4.4,20,807
120,"Stone Enjoy By IPA","Stone Brewing Co.","American Double / Imperial IPA","9.40% ABV",4.39,5,9996
121,"Pallet 1","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.39,116,191
122,"Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","10.50% ABV",4.39,151,381
123,"All Green Everything","Other Half Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.39,179,730
124,"Coriolis","New England Brewing Co.","American Double / Imperial IPA","8.20% ABV",4.39,128,405
125,"Double Shot","Tree House Brewing Company","American Stout","7.60% ABV",4.39,110,507
126,"Matt","Hair of the Dog Brewing Company / Brewery and Tasting Room","American Strong Ale","11.50% ABV",4.39,78,787
127,"Sunday Brunch","Kane Brewing Company","American Porter","9.20% ABV",4.39,81,235
128,"Rodenbach Caractère Rouge","Brouwerij Rodenbach N.V.","Flanders Red Ale","7.00% ABV",4.39,41,1176
129,"Born Yesterday Pale Ale","Lagunitas Brewing Company","American Pale Ale (APA)","6.50% ABV",4.39,93,1578
130,"Framboise Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","8.00% ABV",4.39,77,139
131,"Great","Alpine Beer Company","American Barleywine","14.00% ABV",4.39,36,581
132,"Yellow Rose","The Lone Pint Brewery","American IPA","6.80% ABV",4.39,36,1284
133,"Péché Mortel","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.39,14,4673
134,"Second Fiddle","Fiddlehead Brewing Company","American Double / Imperial IPA","8.20% ABV",4.38,35,1409
135,"Bourbon Barrel Aged Dark Star: Coffee Edition","Fremont Brewing Company","American Double / Imperial Stout","14.50% ABV",4.38,110,357
136,"Cascade Sang Noir","Cascade Brewing / Raccoon Lodge & Brewpub","American Wild Ale","9.50% ABV",4.38,46,1428
137,"Nelson","Alpine Beer Company","American IPA","7.00% ABV",4.38,166,3693
138,"Hop JuJu Imperial IPA","Fat Head's Brewery & Saloon","American Double / Imperial IPA","9.00% ABV",4.38,44,1589
139,"Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","10.00% ABV",4.38,75,1964
140,"Prairie Pirate Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","14.00% ABV",4.38,23,1467
141,"Juicy","Hill Farmstead Brewery","Saison / Farmhouse Ale","7.40% ABV",4.38,135,247
142,"AleSmith Speedway Stout - Vietnamese Coffee","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.38,21,1307
143,"Citra Showers","Noble Ale Works","American Double / Imperial IPA","8.80% ABV",4.38,146,396
144,"Edward","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.38,100,2257
145,"Sculpin IPA","Ballast Point Brewing Company","American IPA","7.00% ABV",4.38,57,12710
146,"Caffè Americano","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.38,141,577
147,"Peche 'n Brett","Logsdon Farmhouse Ales","Saison / Farmhouse Ale","10.00% ABV",4.38,35,1085
148,"Snowed In - Bourbon Barrel Aged","Funky Buddha Brewery","American Double / Imperial Stout","11.00% ABV",4.37,70,105
149,"Saison Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","7.00% ABV",4.37,119,549
150,"Exponential Hoppiness","Alpine Beer Company","American Double / Imperial IPA","11.00% ABV",4.37,118,1244
151,"Mosaic Dry Hopped Fort Point","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.37,111,382
152,"See The Stars","Creature Comforts","Russian Imperial Stout","10.90% ABV",4.37,121,126
153,"Bourbon Barrel Black Maple","Jackie O's Pub & Brewery","American Porter","11.00% ABV",4.37,160,732
154,"AleSmith Speedway Stout","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.37,11,6096
155,"Kuhnhenn Raspberry Eisbock","Kuhnhenn Brewing Company","Eisbock","15.50% ABV",4.37,127,1158
156,"Afterimage","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.36,116,163
157,"Sure Bet","Pipeworks Brewing Company","American Double / Imperial IPA","9.50% ABV",4.36,141,444
158,"Cantillon Gueuze 100% Lambic","Brasserie Cantillon","Gueuze","5.00% ABV",4.36,147,2891
159,"Drie Fonteinen Hommage","Brouwerij Drie Fonteinen","Lambic - Fruit","6.00% ABV",4.36,38,702
160,"Uncle Jacob's Stout","Avery Brewing Company","American Double / Imperial Stout","16.90% ABV",4.36,98,2113
161,"Breakfast Exorcism","Clown Shoes","American Double / Imperial Stout","11.00% ABV",4.36,119,227
162,"The Pupil","Societe Brewing Co.","American IPA","7.80% ABV",4.36,168,788
163,"Brew 1000 - Bourbon Barrel Aged","Fremont Brewing Company","English Barleywine","13.10% ABV",4.36,67,67
164,"Cantillon Lou Pepe - Gueuze","Brasserie Cantillon","Gueuze","5.00% ABV",4.36,51,973
165,"Tweak","Avery Brewing Company","American Double / Imperial Stout","17.81% ABV",4.35,47,1582
166,"Wisconsin Belgian Red","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.35,186,3278
167,"Live Oak HefeWeizen","Live Oak Brewing Company","Hefeweizen","5.20% ABV",4.35,114,1267
168,"R&D Vintage 2014","New Glarus Brewing Company","American Wild Ale","6.00% ABV",4.35,128,286
169,"Vicinity","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.35,182,754
170,"Hop Venom Double IPA","Boneyard Beer Company","American Double / Imperial IPA","8.90% ABV",4.35,20,815
171,"Project Dank","La Cumbre Brewing Co.","American IPA","7.50% ABV",4.35,170,706
172,"Grey Monday","The Bruery","American Double / Imperial Stout","19.50% ABV",4.35,30,1514
173,"Montmorency Vs Balaton","Jester King Brewery","American Wild Ale","6.70% ABV",4.35,107,542
174,"Society & Solitude #6","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.35,137,532
175,"Péché Mortel En Fût De Bourbon Américain","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.35,167,360
176,"Nooner Batch 10","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.35,81,133
177,"Mexican Cake","Westbrook Brewing Co.","American Double / Imperial Stout","10.50% ABV",4.35,86,2309
178,"Victory At Sea Coffee Vanilla Imperial Porter","Ballast Point Brewing Company","American Porter","10.00% ABV",4.34,4,6122
179,"Birth Of Tragedy","Hill Farmstead Brewery","American Porter","9.00% ABV",4.34,40,1070
180,"Masala Mama India Pale Ale","Minneapolis Town Hall Brewery","American IPA","6.00% ABV",4.34,156,1323
181,"Spotted Puffer","Pipeworks Brewing Company","American Double / Imperial IPA","9.50% ABV",4.34,97,204
182,"West Ashley","Sante Adairius Rustic Ales","American Wild Ale","7.30% ABV",4.34,150,748
183,"Aaron","Hill Farmstead Brewery","English Barleywine",NA,4.34,84,279
184,"What Is Enlightenment?","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.34,18,821
185,"BDCS","Ozark Beer Co.","American Double / Imperial Stout","10.20% ABV",4.34,39,86
186,"Double Dry Hopped Sleeper Street IPA","Trillium Brewing Company","American IPA","7.10% ABV",4.34,99,273
187,"Stone Imperial Russian Stout","Stone Brewing Co.","Russian Imperial Stout","10.60% ABV",4.34,62,7967
188,"Bourbon Abominable Winter Ale","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.34,34,888
189,"Omega Point","Olde Hickory Brewery","English Barleywine","10.00% ABV",4.34,135,356
190,"&+","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.50% ABV",4.34,90,134
191,"The Event Horizon","Olde Hickory Brewery","American Double / Imperial Stout","8.50% ABV",4.34,85,1553
192,"Serendipity","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.34,82,2546
193,"Civil Disobedience #15","Hill Farmstead Brewery","Saison / Farmhouse Ale","11.00% ABV",4.33,92,135
194,"Damon (Bourbon Barrel Aged)","Hill Farmstead Brewery","Russian Imperial Stout","10.50% ABV",4.33,173,605
195,"Citra Pale Ale","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.33,22,885
196,"Raspberry Tart","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.33,183,3564
197,"Melcher Street IPA","Trillium Brewing Company","American IPA","7.30% ABV",4.33,151,579
198,"Arctic Devil Barley Wine","Midnight Sun Brewing Co.","English Barleywine","13.20% ABV",4.33,109,1225
199,"Tesseract","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.33,123,223
200,"Old Stock Cellar Reserve (Aged In Bourbon Barrels)","North Coast Brewing Co.","Old Ale","13.16% ABV",4.33,104,947
201,"Drie Fonteinen Oude Geuze","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.33,159,2495
202,"Madagascar","4 Hands Brewing Co.","Milk / Sweet Stout","9.30% ABV",4.33,116,390
203,"Lunch","Maine Beer Company","American IPA","7.00% ABV",4.33,154,4495
204,"Beyond Good And Evil","Hill Farmstead Brewery","American Double / Imperial Stout",NA,4.33,125,507
205,"Hipster Brunch Stout","Odd Side Ales","American Double / Imperial Stout","10.00% ABV",4.33,148,419
206,"Ten FIDY","Oskar Blues Grill & Brew","Russian Imperial Stout","10.50% ABV",4.33,60,9242
207,"Tröegs Nugget Nectar","Tröegs Brewing Company","American Amber / Red Ale","7.50% ABV",4.33,59,7909
208,"Ayinger Celebrator Doppelbock","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","Doppelbock","6.70% ABV",4.33,56,6076
209,"Saison Bernice","Sante Adairius Rustic Ales","Saison / Farmhouse Ale","6.50% ABV",4.33,133,660
210,"Evil Twin Imperial Biscotti Break","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.33,130,3639
211,"Founders Imperial Stout","Founders Brewing Company","Russian Imperial Stout","10.50% ABV",4.33,13,7183
212,"Melange No. 3","The Bruery","American Strong Ale","15.50% ABV",4.33,80,1747
213,"Nut Smasher","Willoughby Brewing","American Double / Imperial Stout","11.00% ABV",4.32,103,177
214,"Nelson Single Hop","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.32,144,404
215,"30th Anniversary Ale","Bell's Brewery, Inc.","American Double / Imperial Stout","11.00% ABV",4.32,74,1036
216,"Pannepot","De Struise Brouwers","Quadrupel (Quad)","10.00% ABV",4.32,171,2283
217,"Parabajava","Firestone Walker Brewing Co.","Russian Imperial Stout","14.00% ABV",4.32,73,214
218,"Monsters Park - Bourbon Barrel Aged With Coconut And Cacao Nibs","Modern Times Beer","American Double / Imperial Stout","13.00% ABV",4.32,39,133
219,"Allagash Cuvée D'Industrial","Allagash Brewing Company","American Wild Ale","7.50% ABV",4.32,155,334
220,"Mastermind","Fiddlehead Brewing Company","American Double / Imperial IPA","8.10% ABV",4.32,17,1043
221,"AleSmith Speedway Stout - Kopi Luwak","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.32,165,519
222,"Fat Head's Head Hunter IPA","Fat Head's Brewery & Saloon","American IPA","7.50% ABV",4.32,140,3823
223,"Heavy Mettle","Trillium Brewing Company","American Double / Imperial IPA","9.30% ABV",4.32,97,391
224,"Wulver","Thirsty Dog Brewing Company","Scotch Ale / Wee Heavy","12.00% ABV",4.32,50,1467
225,"Black Damnation V - Double Black","De Struise Brouwers","American Double / Imperial Stout","26.00% ABV",4.32,23,326
226,"Bourbon Barrel Aged Hi-Fi Rye","Flossmoor Station Restaurant & Brewery","American Barleywine","10.90% ABV",4.32,23,324
227,"Lagunitas Sucks (Brown Shugga Substitute Ale)","Lagunitas Brewing Company","American Double / Imperial IPA","7.85% ABV",4.32,10,9756
228,"Pipeworks / 4 Hands Square Grouper","Pipeworks Brewing Company","American Double / Imperial IPA",NA,4.32,145,634
229,"Blind Pig IPA","Russian River Brewing Company","American IPA","6.10% ABV",4.32,6,5454
230,"Bitter Monk","Anchorage Brewing Company","Belgian IPA","9.00% ABV",4.32,79,946
231,"Great Lakes Barrel-Aged Blackout Stout","Great Lakes Brewing Co.","Russian Imperial Stout","9.50% ABV",4.32,122,1737
232,"Elevated IPA","La Cumbre Brewing Co.","American IPA","7.20% ABV",4.32,45,1212
233,"Allagash Coolship Red","Allagash Brewing Company","Lambic - Fruit","5.70% ABV",4.31,170,467
234,"Box Set Track #10 - Bat Out Of Hell","The Lost Abbey","American Double / Imperial Stout","13.50% ABV",4.31,168,660
235,"Pure Hoppiness","Alpine Beer Company","American Double / Imperial IPA","8.00% ABV",4.31,175,3081
236,"Older Viscosity","Port Brewing","American Double / Imperial Stout","12.00% ABV",4.31,164,2545
237,"Duet","Alpine Beer Company","American IPA","7.00% ABV",4.31,163,3637
238,"Crank IPA","Peg's Cantina & Brew Pub","American IPA","7.00% ABV",4.31,124,395
239,"Three Hour Tour","Minneapolis Town Hall Brewery","Milk / Sweet Stout","6.10% ABV",4.31,178,281
240,"Kuhnhenn Bourbon Barrel Barley Wine","Kuhnhenn Brewing Company","English Barleywine","14.50% ABV",4.31,53,675
241,"Mocha Wednesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.31,176,1003
242,"La Fin Du Monde","Unibroue","Tripel","9.00% ABV",4.31,66,9566
243,"Ghost In The Machine","Parish Brewing Company","American Double / Imperial IPA","8.00% ABV",4.31,123,294
244,"Grassroots Brother Soigné","Grassroots Brewing","Saison / Farmhouse Ale","5.00% ABV",4.31,24,1083
245,"Mosaic IPA","Other Half Brewing Co.","American IPA","7.20% ABV",4.31,99,247
246,"Stillwater / Westbrook Gose Gone Wild","Stillwater Artisanal Ales","Gose","4.60% ABV",4.31,138,626
247,"Genealogy Of Morals (Bourbon Barrel Aged)","Hill Farmstead Brewery","American Double / Imperial Stout","10.70% ABV",4.31,116,402
248,"Schneider Weisse Tap 6 Unser Aventinus","Weisses Bräuhaus G. Schneider & Sohn GmbH","Weizenbock","8.20% ABV",4.31,54,4240
249,"Furious","Surly Brewing Company","American IPA","6.60% ABV",4.31,9,5189
250,"Stone Xocoveza For The Holidays & The New Year","Stone Brewing Co.","Milk / Sweet Stout","8.10% ABV",4.3,115,2910
