"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
76,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2114,163,"Donkerstraat 12","","Westvleteren","Belgium","8640"
77,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.47,642,161,"1400 Ramada Drive","","Paso Robles","CA","93446"
78,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1010,75,"403 Hill Rd","","Greensboro Bend","VT","5842"
79,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.47,969,73,"155 Mata Way #104","","San Marcos","CA","92069"
80,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16306,95,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
81,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.47,739,172,"175 Amity Rd","","Woodbridge","CT","6525"
82,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9092,59,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
83,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.47,5036,140,"1800 W Fulton St","","Chicago","IL","60612"
84,"Evil Twin Brewing","Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,602,157,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
85,"Mikkeller ApS","Beer Geek Vanilla Shake (Bourbon Edition)","American Double / Imperial Stout","13.00%",4.46,328,129,"Humletorvet 27, 3 sal","","Copenhagen","Denmark",""
86,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3076,122,"511 South Kalamazoo Street","","Marshall","MI","49068"
87,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.46,310,138,"1700 S 1st St","","Rogers","AR","72756"
88,"Oskar Blues Grill & Brew","Ten FIDY Bourbon Barrel Aged","Russian Imperial Stout","12.90%",4.46,1017,50,"303 Main St","","Lyons","CO","80540"
89,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.46,1490,49,"35 Crossroad","","Waterbury","VT","5676"
90,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1695,108,"Rue Gheude 56","","Brussels","Belgium","1070"
91,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3810,151,"715 Dunn Way","","Placentia","CA","92870"
92,"Funky Buddha Brewery","Wide Awake It's Morning","American Porter","10.00%",4.46,660,20,"1201 NE 38th St","","Oakland Park","FL","33334"
93,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2594,139,"725 4th St","","Santa Rosa","CA","95404"
94,"Hill Farmstead Brewery","Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1378,40,"403 Hill Rd","","Greensboro Bend","VT","5842"
95,"Prairie Artisan Ales","Pirate Bomb!","American Double / Imperial Stout","14.00%",4.46,1936,65,"1803 S 49th West Ave","","Tulsa","OK","74107"
96,"Cigar City Brewing","Decoherence","American Double / Imperial Stout","12.90%",4.46,181,96,"3924 W Spruce St","","Tampa","FL","33607"
97,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,709,25,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
98,"Trillium Brewing Company","Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.45,1790,52,"369 Congress St","","Boston","MA","2210"
99,"Hill Farmstead Brewery","Susan","American IPA","6.20%",4.45,1774,52,"403 Hill Rd","","Greensboro Bend","VT","5842"
100,"Cigar City Brewing","Caffè Americano","American Double / Imperial Stout","11.00%",4.45,975,23,"3924 W Spruce St","","Tampa","FL","33607"
101,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.45,4496,180,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
102,"Firestone Walker Brewing Company","§ucaba","English Barleywine","12.50%",4.45,4959,173,"1400 Ramada Drive","","Paso Robles","CA","93446"
103,"Toppling Goliath Brewing Company","Sosus","American Double / Imperial IPA","8.00%",4.45,1284,34,"310 College Dr","","Decorah","IO","52101"
104,"Hill Farmstead Brewery","Everett Porter","American Porter","7.50%",4.45,2573,114,"403 Hill Rd","","Greensboro Bend","VT","5842"
105,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,1010,48,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
106,"Heist Brewery","Citraquench'l","American IPA","6.70%",4.45,120,109,"2901 N Davidson St","","Charlotte","NC","28205"
107,"Surly Brewing Company","Todd The Axe Man","American IPA","7.20%",4.45,2173,110,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
108,"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2072,106,"9990 AleSmith Ct","","San Diego","CA","92126"
109,"de Garde Brewing","Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.45,203,88,"6000 Blimp Blvd","","Tillamook","OR","97141"
110,"Trillium Brewing Company","Congress Street IPA","American IPA","7.20%",4.45,1865,69,"369 Congress St","","Boston","MA","2210"
111,"Trillium Brewing Company","Mosaic Dry Hopped Fort Point","American Pale Ale (APA)","6.60%",4.45,965,18,"369 Congress St","","Boston","MA","2210"
112,"Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.45,451,164,"24 W Union St","","Athens","OH","45701"
113,"de Garde Brewing","The Broken Truck","Gueuze","5.00%",4.44,157,82,"6000 Blimp Blvd","","Tillamook","OR","97141"
114,"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.44,170,102,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
115,"Alpine Beer Company","Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,147,"2363 Alpine Blvd","","Alpine","CA","91901"
116,"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.44,200,96,"Closed","","","",""
117,"Funky Buddha Brewery","Last Buffalo In The Park","American Double / Imperial Stout","11.50%",4.44,243,113,"1201 NE 38th St","","Oakland Park","FL","33334"
118,"Three Floyds Brewing Company","Permanent Funeral","American Double / Imperial IPA","10.50%",4.44,2794,100,"9750 Indiana Pkwy","","Munster","IN","46321"
119,"Bell's Brewery, Inc.","Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12795,93,"355 E. KALAMAZOO?AVE.","","Kalamazoo","MI","49007"
120,"J. Wakefield Brewing","Miami Madness","Berliner Weissbier","5.50%",4.44,292,125,"120 NW 24th St","","Miami","FL","33127"
121,"Firestone Walker Brewing Company","Stickee Monkee","Quadrupel (Quad)","11.60%",4.43,2329,83,"1400 Ramada Drive","","Paso Robles","CA","93446"
122,"Trillium Brewing Company","Upper Case","American Double / Imperial IPA","9.00%",4.43,790,15,"369 Congress St","","Boston","MA","2210"
123,"Trillium Brewing Company","Heavy Mettle","American Double / Imperial IPA","9.30%",4.43,793,172,"369 Congress St","","Boston","MA","2210"
124,"Prairie Artisan Ales","Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.43,1019,46,"1803 S 49th West Ave","","Tulsa","OK","74107"
125,"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1549,29,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
126,"Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood","Old Ale","12.00%",4.43,946,43,"61 SE Yamhill St","","Portland","OR","97214"
127,"Stone Brewing","Imperial Russian Stout - Bourbon Barrel Aged","Russian Imperial Stout","13.50%",4.43,1141,42,"1999 Citracado Parkway","","Escondido","CA","92029"
128,"Hill Farmstead Brewery","Juicy","Saison / Farmhouse Ale","7.40%",4.43,487,166,"403 Hill Rd","","Greensboro Bend","VT","5842"
129,"Anchorage Brewing Company","A Deal With The Devil","American Barleywine","17.30%",4.43,966,27,"148 West 91st Ave?","","Anchorage","AK","99515"
130,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.43,449,145,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
131,"Peg's Cantina & Brew Pub","Rare Scooop","American Double / Imperial Stout","Imperial",4.43,106,74,"Closed","","","",""
132,"Prairie Artisan Ales","Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.43,1438,53,"1803 S 49th West Ave","","Tulsa","OK","74107"
133,"Brouwerij Rodenbach N.V.","Alexander","Flanders Red Ale","5.00%",4.42,443,32,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
134,"Funky Buddha Brewery","Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1723,77,"1201 NE 38th St","","Oakland Park","FL","33334"
135,"Funky Buddha Brewery","Last Snow","American Porter","6.40%",4.42,1720,76,"1201 NE 38th St","","Oakland Park","FL","33334"
136,"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,650,17,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
137,"Perrin Brewery","No Rules","American Porter","15.00%",4.42,1018,66,"5910 Comstock Park Dr NW","","Comstock Park","MI","49321"
138,"Brouwerij St. Bernardus NV","St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9368,58,"Trappistenweg 23","","Watou","Belgium","8978"
139,"New England Brewing Company","Coriolis","American Double / Imperial IPA","8.20%",4.42,576,155,"175 Amity Rd","","Woodbridge","CT","6525"
140,"Brasserie Cantillon","Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1255,89,"Rue Gheude 56","","Brussels","Belgium","1070"
141,"Sante Adairius Rustic Ales","Saison Bernice","Saison / Farmhouse Ale","6.50%",4.42,840,162,"103 Kennedy Dr","","Capitola","CA","95010"
142,"Brasserie Cantillon","Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2018,128,"Rue Gheude 56","","Brussels","Belgium","1070"
143,"Columbus Brewing Company","Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1439,53,"2555 Harrison Rd","","Columbus","OH","43204"
144,"Grimm Artisanal Ales","Afterimage","American Double / Imperial IPA","8.00%",4.41,432,160,"PO Box 150472","","Brooklyn","NY","11215"
145,"Hangar 24 Brewery","Pugachev Royale","Russian Imperial Stout","14.80%",4.41,195,84,"1710 Sessums Drive","","Redlands","CA","92374"
146,"Russian River Brewing Company","Temptation","American Wild Ale","7.50%",4.41,3634,1,"725 4th St","","Santa Rosa","CA","95404"
147,"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1975,79,"24581 Lorain Rd.","","North Olmstead","OH","44070"
148,"Surly Brewing Company","Darkness","Russian Imperial Stout","10.30%",4.41,3741,171,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
149,"Tree House Brewing Company","Triple Shot","American Double / Imperial Stout","9.00%",4.41,254,96,"160 E Hill Rd","","Monson","MA","1057"
150,"J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.41,292,123,"120 NW 24th St","","Miami","FL","33127"
151,"The Bruery","Chocolate Rain","American Double / Imperial Stout","18.50%",4.41,2612,103,"715 Dunn Way","","Placentia","CA","92870"
152,"Jackie O's Pub & Brewery","Oro Negro","American Double / Imperial Stout","10.50%",4.41,652,17,"24 W Union St","","Athens","OH","45701"
153,"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.41,736,17,"Closed","","","",""
154,"Alpine Beer Company","Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,27,"2363 Alpine Blvd","","Alpine","CA","91901"
155,"Perennial Artisan Ales","Abraxas","American Double / Imperial Stout","10.00%",4.41,2408,98,"8125 Michigan Ave","","Saint Louis","MI","63111"
156,"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.41,1867,90,"11197 Brockway Rd","","Truckee","CA","96161"
157,"Kane Brewing Company","Mexican Brunch","American Porter","9.20%",4.41,221,84,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
158,"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1380,62,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
